index,basin_code,min,max,finished
0,ARAL,1,100,n
1,ARAL,101,200,n
2,ARAL,201,300,n
3,ARAL,301,400,n
4,ARAL,401,500,n
5,ARAL,501,600,n
6,ARAL,601,700,n
7,ARAL,701,800,n
8,ARAL,801,900,n
9,ARAL,901,1000,n
10,ARAL,1001,1100,n
11,ARAL,1101,1200,n
12,ARAL,1201,1300,n
13,ARAL,1301,1400,n
14,ARAL,1401,1500,n
15,ARAL,1501,1600,n
16,ARAL,1601,1700,n
17,ARAL,1701,1800,n
18,ARAL,1801,1900,n
19,ARAL,1901,2000,n
20,ARAL,2001,2100,n
21,ARAL,2101,2200,n
22,ARAL,2201,2300,n
23,ARAL,2301,2400,n
24,ARAL,2401,2500,n
25,ARAL,2501,2600,n
26,ARAL,2601,2700,n
27,ARAL,2701,2800,n
28,ARAL,2801,2900,n
29,ARAL,2901,3000,n
30,ARAL,3001,3100,n
31,ARAL,3101,3200,n
32,ARAL,3201,3300,n
33,ARAL,3301,3400,n
34,ARAL,3401,3500,n
35,ARAL,3501,3600,n
36,ARAL,3601,3700,n
37,ARAL,3701,3800,n
38,ARAL,3801,3900,n
39,ARAL,3901,4000,n
40,ARAL,4001,4100,n
41,ARAL,4101,4200,n
42,ARAL,4201,4300,n
43,ARAL,4301,4400,n
44,ARAL,4401,4418,n
