search_terms,basin_code,basin_name,search_completed,basin_count,"Search Notes, Identify any issues ",over_ten_k,finished
Aral OR Syr Daria OR Naryn OR Amu Daria OR Syr Darya OR Amu Darya OR Akhangaran OR Chirchik,ARAL,Aral Sea,N,4418,,,
Asi OR Orontes OR Amik Golu,ASIX,Asi/Orontes,N,"10,000+",,,
Abhe Bid Hayak OR Awash OR Finochaa OR Gemeri Hayak OR Petit Akabi OR Sendafa,AWSH,Awash,N,"10,000+",,,
Bann OR CAPS(Black Water) OR Laugh Neagh OR CAPS(Lower Laugh) Erine,BANN,Bann,N,"8,274",,,
Benito OR Ntem,BENT,Benito/Ntem,N,"7,454",,,
Bia,BIAX,Bia,N,"4,926",,,
Belize OR Mopan,BLZE,Belize,N,"4,560",,,
Columbia OR Christina Lake OR Clolumbia OR Columbia Lake OR CAPS(Cranberry) OR Duncan Lake OR CAPS(Dutch) OR Findlay OR CAPS(Fry) OR CAPS(Goat) OR Hosethief OR Kootenay OR Kootenay Lake OR Lardean OR Lower Arrow Lake OR Skaha Lake OR Slocan Lake OR Upper Arrow Lake OR Whiteswan Lake OR Windermere Lake OR Banks Lake OR Bunt OR Burrell OR Butter OR Chewuch OR CAPS(Crab) OR CAPS(Crater) OR CAPS(Crooked) OR Deschutes OR Grandy OR Imnaha OR Jon Day OR Joseph Cr OR Kalama OR Klickitat OR Lake Chelan OR Lake Owyhee OR Lake Pend Ireukke OR CAPS(Billy Chinook) OR Little Crater Creek OR Little Malheur OR Lostine OR Lower Willow Creek OR Malheur OR McKenzie OR Meadow Creek OR Methow OR Middle Creek OR CAPS(Middle Fork) OR Minam OR CAPS(Mine Creek) OR Moses Lake OR N Fork Sanpoil OR N Fork Jon Day OR North Fork OR North Fork Sugar Creek OR North Santiam OR North Sugar Creek OR Ochoco Lkae OR Okanogan OR Omak Lake OR Osoyoos Lake OR Owyhee OR Palouse OR Pend Oreille OR Pleasany Creek OR Pole Creek OR Potholes OR Potlatch OR CAPS(Powder) OR Prineville  OR CAPS(Rock) OR Roosevelt Lake OR Rufus Woods Lake OR CAPS(Salmon) OR Sanpoil OR CAPS(Snake) OR South Santiam OR St. Joe OR St. Maries OR Troublesome Creek OR Trout Creek OR Tumalo OR Turkey Creek OR Umatilla OR Ute Creek OR Wala Wala OR Wallowa OR Wallowa Lake OR CAPS(Warm Springs) OR Wenaha OR West Little Owyhee OR Willamette OR Williams Fork OR Willow Creek OR Yakima,CLMB,Columbia,N,"10,000+",,,
CAPS(Coco) OR Segovia OR Amaka OR Bocay OR Waspuk,COCO,Coco/Segovia,N,"10,000+",,,
Cullen,CULL,Cullen,N,"10,000+",,,
