index,BCODE,basin,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,AMUR,Amur,2008-06-30,2011-12-31,,,,,
1,AMUR,Amur,2012-01-01,2014-06-30,,,,,
2,AMUR,Amur,2014-07-01,2016-06-30,,,,,
3,AMUR,Amur,2016-07-01,2017-06-30,,,,,
4,AMUR,Amur,2017-07-01,2018-06-30,,,,,
5,AMUR,Amur,2018-07-01,2019-06-30,,,,,
6,AMUR,Amur,2019-07-01,2020-06-30,,,,,
7,AMUR,Amur,2020-07-01,2021-06-30,,,,,
8,AMUR,Amur,2021-07-01,2022-06-30,,,,,
9,AMUR,Amur,2022-07-01,2023-06-30,,,,,
10,AMUR,Amur,2023-07-01,2024-03-15,,,,,
