index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,BUZI,Buzi,06/30/2008,08/31/2009,,,,,
1,BUZI,Buzi,09/01/2009,12/31/2010,,,,,
2,BUZI,Buzi,01/01/2011,12/31/2011,,,,,
3,BUZI,Buzi,01/01/2012,08/31/2012,,,,,
4,BUZI,Buzi,09/01/2012,04/30/2013,,,,,
5,BUZI,Buzi,05/01/2013,10/31/2013,,,,,
6,BUZI,Buzi,11/01/2013,06/30/2014,,,,,
7,BUZI,Buzi,07/01/2014,03/31/2015,,,,,
8,BUZI,Buzi,04/01/2015,09/30/2015,,,,,
9,BUZI,Buzi,10/01/2015,02/29/2016,,,,,
10,BUZI,Buzi,03/01/2016,05/31/2016,,,,,
11,BUZI,Buzi,06/01/2016,06/30/2016,,,,,
12,BUZI,Buzi,07/01/2016,07/31/2016,,,,,
13,BUZI,Buzi,08/01/2016,08/07/2016,,,,,
14,BUZI,Buzi,08/08/2016,08/15/2016,,,,,
15,BUZI,Buzi,08/16/2016,08/31/2016,,,,,
16,BUZI,Buzi,09/01/2016,10/31/2016,,,,,
17,BUZI,Buzi,11/01/2016,03/31/2017,,,,,
18,BUZI,Buzi,04/01/2017,08/31/2017,,,,,
19,BUZI,Buzi,09/01/2017,11/30/2017,,,,,
20,BUZI,Buzi,12/01/2017,03/15/2018,,,,,
21,BUZI,Buzi,03/16/2018,05/31/2018,,,,,
22,BUZI,Buzi,06/01/2018,08/31/2018,,,,,
23,BUZI,Buzi,09/01/2018,11/30/2018,,,,,
24,BUZI,Buzi,12/01/2018,03/31/2019,,,,,
25,BUZI,Buzi,04/01/2019,07/31/2019,,,,,
26,BUZI,Buzi,08/01/2019,11/30/2019,,,,,
27,BUZI,Buzi,12/01/2019,05/31/2020,,,,,
28,BUZI,Buzi,06/01/2020,10/31/2020,,,,,
29,BUZI,Buzi,11/01/2020,03/31/2021,,,,,
30,BUZI,Buzi,04/01/2021,07/31/2021,,,,,
31,BUZI,Buzi,08/01/2021,11/30/2021,,,,,
32,BUZI,Buzi,12/01/2021,04/30/2022,,,,,
33,BUZI,Buzi,05/01/2022,09/30/2022,,,,,
34,BUZI,Buzi,10/01/2022,03/01/2023,,,,,
35,BUZI,Buzi,03/02/2023,06/30/2023,,,,,
36,BUZI,Buzi,07/01/2023,09/30/2023,,,,,
37,BUZI,Buzi,10/01/2023,12/31/2023,,,,,
38,BUZI,Buzi,01/01/2024,03/15/2024,,,,,
