index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
1,CAXX,Ca/Song Lam,06/30/2008,06/30/2009,,,,,
2,CAXX,Ca/Song Lam,07/01/2009,03/31/2010,,,,,
3,CAXX,Ca/Song Lam,04/01/2010,11/30/2010,,,,,
4,CAXX,Ca/Song Lam,12/01/2010,05/31/2011,,,,,
5,CAXX,Ca/Song Lam,06/01/2011,12/31/2011,,,,,
6,CAXX,Ca/Song Lam,01/01/2012,06/30/2012,,,,,
7,CAXX,Ca/Song Lam,07/01/2012,12/31/2012,,,,,
8,CAXX,Ca/Song Lam,01/01/2013,05/31/2013,,,,,
9,CAXX,Ca/Song Lam,06/01/2013,09/30/2013,,,,,
10,CAXX,Ca/Song Lam,10/01/2013,01/31/2014,,,,,
11,CAXX,Ca/Song Lam,02/01/2014,05/31/2014,,,,,
12,CAXX,Ca/Song Lam,06/01/2014,08/31/2014,,,,,
13,CAXX,Ca/Song Lam,09/01/2014,12/31/2014,,,,,
14,CAXX,Ca/Song Lam,01/01/2015,03/31/2015,,,,,
15,CAXX,Ca/Song Lam,04/01/2015,06/30/2015,,,,,
16,CAXX,Ca/Song Lam,07/01/2015,09/30/2015,,,,,
17,CAXX,Ca/Song Lam,10/01/2015,11/30/2015,,,,,
18,CAXX,Ca/Song Lam,12/01/2015,01/31/2016,,,,,
19,CAXX,Ca/Song Lam,02/01/2016,03/15/2016,,,,,
20,CAXX,Ca/Song Lam,03/16/2016,04/30/2016,,,,,
21,CAXX,Ca/Song Lam,05/01/2016,06/30/2016,,,,,
22,CAXX,Ca/Song Lam,07/01/2016,07/31/2016,,,,,
23,CAXX,Ca/Song Lam,08/01/2016,08/31/2016,,,,,
24,CAXX,Ca/Song Lam,09/01/2016,09/30/2016,,,,,
25,CAXX,Ca/Song Lam,10/01/2016,10/31/2016,,,,,
26,CAXX,Ca/Song Lam,11/01/2016,11/30/2016,,,,,
27,CAXX,Ca/Song Lam,12/01/2016,12/31/2016,,,,,
28,CAXX,Ca/Song Lam,01/01/2017,01/31/2017,,,,,
29,CAXX,Ca/Song Lam,02/01/2017,03/10/2017,,,,,
30,CAXX,Ca/Song Lam,03/11/2017,04/30/2017,,,,,
31,CAXX,Ca/Song Lam,05/01/2017,06/30/2017,,,,,
32,CAXX,Ca/Song Lam,07/01/2017,08/31/2017,,,,,
33,CAXX,Ca/Song Lam,09/01/2017,10/31/2017,,,,,
34,CAXX,Ca/Song Lam,11/01/2017,12/31/2017,,,,,
35,CAXX,Ca/Song Lam,01/01/2018,02/15/2018,,,,,
36,CAXX,Ca/Song Lam,02/16/2018,03/31/2018,,,,,
37,CAXX,Ca/Song Lam,04/01/2018,04/30/2018,,,,,
38,CAXX,Ca/Song Lam,05/01/2018,05/31/2018,,,,,
39,CAXX,Ca/Song Lam,06/01/2018,06/30/2018,,,,,
40,CAXX,Ca/Song Lam,07/01/2018,07/31/2018,,,,,
41,CAXX,Ca/Song Lam,08/01/2018,08/15/2018,,,,,
42,CAXX,Ca/Song Lam,08/16/2018,08/31/2018,,,,,
43,CAXX,Ca/Song Lam,09/01/2018,09/15/2018,,,,,
44,CAXX,Ca/Song Lam,09/16/2018,09/30/2018,,,,,
45,CAXX,Ca/Song Lam,10/01/2018,10/15/2018,,,,,
46,CAXX,Ca/Song Lam,10/16/2018,10/31/2018,,,,,
47,CAXX,Ca/Song Lam,11/01/2018,11/30/2018,,,,,
48,CAXX,Ca/Song Lam,12/01/2018,12/31/2018,,,,,
49,CAXX,Ca/Song Lam,01/01/2019,01/31/2018,,,,,
50,CAXX,Ca/Song Lam,02/01/2019,02/28/2019,,,,,
51,CAXX,Ca/Song Lam,03/01/2019,03/25/2019,,,,,
52,CAXX,Ca/Song Lam,03/26/2019,04/10/2019,,,,,
53,CAXX,Ca/Song Lam,04/11/2019,04/30/2019,,,,,
54,CAXX,Ca/Song Lam,05/01/2019,05/20/2019,,,,,
55,CAXX,Ca/Song Lam,05/21/2019,06/20/2019,,,,,
56,CAXX,Ca/Song Lam,06/21/2019,07/31/2019,,,,,
57,CAXX,Ca/Song Lam,08/01/2019,09/30/2019,,,,,
58,CAXX,Ca/Song Lam,10/01/2019,12/31/2019,,,,,
59,CAXX,Ca/Song Lam,01/01/2020,03/01/2020,,,,,
60,CAXX,Ca/Song Lam,03/02/2020,05/31/2020,,,,,
61,CAXX,Ca/Song Lam,06/01/2020,07/31/2020,,,,,
62,CAXX,Ca/Song Lam,08/01/2020,10/31/2020,,,,,
63,CAXX,Ca/Song Lam,11/01/2020,01/31/2021,,,,,
64,CAXX,Ca/Song Lam,02/01/2021,04/30/2021,,,,,
65,CAXX,Ca/Song Lam,05/01/2021,07/31/2021,,,,,
66,CAXX,Ca/Song Lam,08/01/2021,10/31/2021,,,,,
67,CAXX,Ca/Song Lam,11/01/2021,01/31/2022,,,,,
68,CAXX,Ca/Song Lam,02/01/2022,04/30/2022,,,,,
69,CAXX,Ca/Song Lam,05/01/2022,07/31/2022,,,,,
70,CAXX,Ca/Song Lam,08/01/2022,10/31/2022,,,,,
71,CAXX,Ca/Song Lam,11/01/2022,01/31/2023,,,,,
72,CAXX,Ca/Song Lam,02/01/2023,04/30/2023,,,,,
73,CAXX,Ca/Song Lam,05/01/2023,06/30/2023,,,,,
74,CAXX,Ca/Song Lam,07/01/2023,09/30/2023,,,,,
75,CAXX,Ca/Song Lam,10/01/2023,12/31/2023,,,,,
76,CAXX,Ca/Song Lam,01/01/2024,03/15/2024,,,,,
