index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,DONX,Don,06/30/2008,09/30/2008,,,1.0,,0.0
1,DONX,Don,10/01/2008,12/31/2008,,,0.0,,0.0
2,DONX,Don,01/01/2009,03/31/2009,,,0.0,,0.0
3,DONX,Don,04/01/2009,06/30/2009,,,,,
4,DONX,Don,07/01/2009,09/30/2009,,,,,
5,DONX,Don,10/01/2009,12/31/2009,,,,,
6,DONX,Don,01/01/2010,03/31/2010,,,,,
7,DONX,Don,04/01/2010,06/30/2010,,,,,
8,DONX,Don,07/01/2010,09/30/2010,,,,,
9,DONX,Don,10/01/2010,12/31/2010,,,,,
10,DONX,Don,01/01/2011,03/31/2011,,,,,
11,DONX,Don,04/01/2011,06/30/2011,,,,,
12,DONX,Don,07/01/2011,09/30/2011,,,,,
13,DONX,Don,10/01/2011,12/31/2011,,,,,
14,DONX,Don,01/01/2012,03/31/2012,,,,,
15,DONX,Don,04/01/2012,06/30/2012,,,,,
16,DONX,Don,07/01/2012,08/31/2012,,,,,
17,DONX,Don,09/01/2012,10/31/2012,,,,,
18,DONX,Don,11/01/2012,12/31/2012,,,,,
19,DONX,Don,01/01/2013,02/28/2013,,,,,
20,DONX,Don,03/01/2013,04/30/2013,,,,,
21,DONX,Don,05/01/2013,06/30/2013,,,,,
22,DONX,Don,07/01/2013,07/31/2013,,,,,
23,DONX,Don,08/01/2013,08/31/2013,,,,,
24,DONX,Don,09/01/2013,09/30/2013,,,,,
25,DONX,Don,10/01/2013,10/31/2013,,,,,
26,DONX,Don,11/01/2013,11/30/2013,,,,,
27,DONX,Don,12/01/2013,12/31/2013,,,,,
28,DONX,Don,01/01/2014,01/31/2014,,,,,
29,DONX,Don,02/01/2014,02/28/2014,,,,,
30,DONX,Don,03/01/2014,03/31/2014,,,,,
31,DONX,Don,04/01/2014,04/30/2014,,,,,
32,DONX,Don,05/01/2014,05/31/2014,,,,,
33,DONX,Don,06/01/2014,06/30/2014,,,,,
34,DONX,Don,07/01/2014,07/31/2014,,,,,
35,DONX,Don,08/01/2014,08/31/2014,,,,,
36,DONX,Don,09/01/2014,09/30/2014,,,,,
37,DONX,Don,10/01/2014,10/31/2014,,,,,
38,DONX,Don,11/01/2014,11/30/2014,,,,,
39,DONX,Don,12/01/2014,12/31/2014,,,,,
40,DONX,Don,01/01/2015,01/31/2015,,,,,
41,DONX,Don,02/01/2015,02/28/2015,,,,,
42,DONX,Don,03/01/2015,03/31/2015,,,,,
43,DONX,Don,04/01/2015,04/30/2015,,,,,
44,DONX,Don,05/01/2015,05/31/2015,,,,,
45,DONX,Don,06/01/2015,06/30/2015,,,,,
46,DONX,Don,07/01/2015,08/31/2015,,,,,
47,DONX,Don,09/01/2015,10/31/2015,,,,,
48,DONX,Don,11/01/2015,12/31/2015,,,,,
49,DONX,Don,01/01/2016,02/29/2016,,,,,
50,DONX,Don,03/01/2016,04/30/2016,,,,,
51,DONX,Don,05/01/2016,06/30/2016,,,,,
52,DONX,Don,07/01/2016,08/31/2016,,,,,
53,DONX,Don,09/01/2016,10/31/2016,,,,,
54,DONX,Don,11/01/2016,12/31/2016,,,,,
55,DONX,Don,01/01/2017,02/28/2017,,,,,
56,DONX,Don,03/01/2017,04/30/2017,,,,,
57,DONX,Don,05/01/2017,06/30/2017,,,,,
58,DONX,Don,07/01/2017,08/31/2017,,,,,
59,DONX,Don,09/01/2017,10/31/2017,,,,,
60,DONX,Don,11/01/2017,12/31/2017,,,,,
61,DONX,Don,01/01/2018,02/28/2018,,,,,
62,DONX,Don,03/01/2018,04/30/2018,,,,,
63,DONX,Don,05/01/2018,06/30/2018,,,,,
64,DONX,Don,07/01/2018,08/31/2018,,,,,
65,DONX,Don,09/01/2018,10/31/2018,,,,,
66,DONX,Don,11/01/2018,12/31/2018,,,,,
67,DONX,Don,01/01/2019,02/28/2019,,,,,
68,DONX,Don,03/01/2019,04/30/2019,,,,,
69,DONX,Don,05/01/2019,06/30/2019,,,,,
70,DONX,Don,07/01/2019,08/31/2019,,,,,
71,DONX,Don,09/01/2019,10/31/2019,,,,,
72,DONX,Don,11/01/2019,12/31/2019,,,,,
73,DONX,Don,01/01/2020,02/29/2020,,,,,
74,DONX,Don,03/01/2020,04/30/2020,,,,,
75,DONX,Don,05/01/2020,06/30/2020,,,,,
76,DONX,Don,07/01/2020,08/31/2020,,,,,
77,DONX,Don,09/01/2020,10/31/2020,,,,,
78,DONX,Don,11/01/2020,12/31/2020,,,,,
79,DONX,Don,01/01/2021,02/28/2021,,,,,
80,DONX,Don,03/01/2021,04/30/2021,,,,,
81,DONX,Don,05/01/2021,06/30/2021,,,,,
82,DONX,Don,07/01/2021,09/30/2021,,,,,
83,DONX,Don,10/01/2021,12/31/2021,,,,,
84,DONX,Don,01/01/2022,03/31/2022,,,,,
85,DONX,Don,04/01/2022,06/30/2022,,,,,
86,DONX,Don,07/01/2022,09/30/2022,,,,,
87,DONX,Don,10/01/2022,12/31/2022,,,,,
88,DONX,Don,01/01/2023,03/31/2023,,,,,
89,DONX,Don,04/01/2023,06/30/2023,,,,,
90,DONX,Don,07/01/2023,09/30/2023,,,,,
91,DONX,Don,10/01/2023,12/31/2023,,,,,
92,DONX,Don,01/01/2024,03/15/2024,,,,,
