index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,DURO,Douro/Duero,2008-06-30,2009-12-31,,,,,
1,DURO,Douro/Duero,2010-01-01,2011-06-30,,,,,
2,DURO,Douro/Duero,2011-07-01,2012-12-31,,,,,
3,DURO,Douro/Duero,2013-01-01,2014-06-30,,,,,
12,DURO,Douro/Duero,2014-07-01,2015-12-31,,,,,
13,DURO,Douro/Duero,2016-01-01,2017-06-30,,,,,
14,DURO,Douro/Duero,2017-07-01,2018-12-31,,,,,
15,DURO,Douro/Duero,2019-01-01,2020-06-30,,,,,
16,DURO,Douro/Duero,2020-07-01,2021-12-31,,,,,
17,DURO,Douro/Duero,2022-01-01,2023-06-30,,,,,
18,DURO,Douro/Duero,2017-07-01,2017-12-31,,,,,
19,DURO,Douro/Duero,2018-01-01,2018-06-30,,,,,
20,DURO,Douro/Duero,2018-07-01,2018-12-31,,,,,
21,DURO,Douro/Duero,2019-01-01,2019-06-30,,,,,
22,DURO,Douro/Duero,2019-07-01,2019-12-31,,,,,
23,DURO,Douro/Duero,2020-01-01,2020-06-30,,,,,
24,DURO,Douro/Duero,2020-07-01,2020-12-31,,,,,
25,DURO,Douro/Duero,2021-01-01,2021-06-30,,,,,
26,DURO,Douro/Duero,2021-07-01,2021-12-31,,,,,
27,DURO,Douro/Duero,2022-01-01,2022-06-30,,,,,
28,DURO,Douro/Duero,2022-07-01,2022-12-31,,,,,
29,DURO,Douro/Duero,2023-01-01,2023-06-30,,,,,
30,DURO,Douro/Duero,2023-07-01,2023-12-31,,,,,
31,DURO,Douro/Duero,2024-01-01,2024-03-15,,,,,
