index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,ELBE,Elbe,06/30/2008,12/31/2008,,,,,
1,ELBE,Elbe,12/28/2008,01/03/2009,,,,,
2,ELBE,Elbe,01/04/2009,01/10/2009,,,,,
3,ELBE,Elbe,01/11/2009,01/17/2009,,,,,
4,ELBE,Elbe,01/18/2009,01/24/2009,,,,,
5,ELBE,Elbe,01/25/2009,01/31/2009,,,,,
6,ELBE,Elbe,02/01/2009,02/07/2009,,,,,
7,ELBE,Elbe,02/08/2009,02/14/2009,,,,,
8,ELBE,Elbe,02/15/2009,02/21/2009,,,,,
9,ELBE,Elbe,02/22/2009,02/28/2009,,,,,
10,ELBE,Elbe,03/01/2009,03/07/2009,,,,,
11,ELBE,Elbe,03/08/2009,03/14/2009,,,,,
12,ELBE,Elbe,03/15/2009,03/21/2009,,,,,
13,ELBE,Elbe,03/22/2009,03/28/2009,,,,,
14,ELBE,Elbe,03/29/2009,04/04/2009,,,,,
15,ELBE,Elbe,04/05/2009,04/11/2009,,,,,
16,ELBE,Elbe,04/12/2009,04/18/2009,,,,,
17,ELBE,Elbe,04/19/2009,04/25/2009,,,,,
18,ELBE,Elbe,04/26/2009,05/02/2009,,,,,
19,ELBE,Elbe,05/03/2009,05/09/2009,,,,,
20,ELBE,Elbe,05/10/2009,05/16/2009,,,,,
21,ELBE,Elbe,05/17/2009,05/23/2009,,,,,
22,ELBE,Elbe,05/24/2009,05/30/2009,,,,,
23,ELBE,Elbe,05/31/2009,06/06/2009,,,,,
24,ELBE,Elbe,06/07/2009,06/13/2009,,,,,
25,ELBE,Elbe,06/14/2009,06/20/2009,,,,,
26,ELBE,Elbe,06/21/2009,06/27/2009,,,,,
27,ELBE,Elbe,06/28/2009,07/04/2009,,,,,
28,ELBE,Elbe,07/05/2009,07/11/2009,,,,,
29,ELBE,Elbe,07/12/2009,07/18/2009,,,,,
30,ELBE,Elbe,07/19/2009,07/25/2009,,,,,
31,ELBE,Elbe,07/26/2009,08/01/2009,,,,,
32,ELBE,Elbe,08/02/2009,08/08/2009,,,,,
33,ELBE,Elbe,08/09/2009,08/15/2009,,,,,
34,ELBE,Elbe,08/16/2009,08/22/2009,,,,,
35,ELBE,Elbe,08/23/2009,08/29/2009,,,,,
36,ELBE,Elbe,08/30/2009,09/05/2009,,,,,
37,ELBE,Elbe,09/06/2009,09/12/2009,,,,,
38,ELBE,Elbe,09/13/2009,09/19/2009,,,,,
39,ELBE,Elbe,09/20/2009,09/26/2009,,,,,
40,ELBE,Elbe,09/27/2009,10/03/2009,,,,,
41,ELBE,Elbe,10/04/2009,10/10/2009,,,,,
42,ELBE,Elbe,10/11/2009,10/17/2009,,,,,
43,ELBE,Elbe,10/18/2009,10/24/2009,,,,,
44,ELBE,Elbe,10/25/2009,10/31/2009,,,,,
45,ELBE,Elbe,11/01/2009,11/07/2009,,,,,
46,ELBE,Elbe,11/08/2009,11/14/2009,,,,,
47,ELBE,Elbe,11/15/2009,11/21/2009,,,,,
48,ELBE,Elbe,11/22/2009,11/28/2009,,,,,
49,ELBE,Elbe,11/29/2009,12/05/2009,,,,,
50,ELBE,Elbe,12/06/2009,12/12/2009,,,,,
51,ELBE,Elbe,12/13/2009,12/19/2009,,,,,
52,ELBE,Elbe,12/20/2009,12/26/2009,,,,,
53,ELBE,Elbe,12/27/2009,01/02/2010,,,,,
54,ELBE,Elbe,01/03/2010,01/09/2010,,,,,
55,ELBE,Elbe,01/10/2010,01/16/2010,,,,,
56,ELBE,Elbe,01/17/2010,01/23/2010,,,,,
57,ELBE,Elbe,01/24/2010,01/30/2010,,,,,
58,ELBE,Elbe,01/31/2010,02/06/2010,,,,,
59,ELBE,Elbe,02/07/2010,02/13/2010,,,,,
60,ELBE,Elbe,02/14/2010,02/20/2010,,,,,
61,ELBE,Elbe,02/21/2010,02/27/2010,,,,,
62,ELBE,Elbe,02/28/2010,03/06/2010,,,,,
63,ELBE,Elbe,03/07/2010,03/13/2010,,,,,
64,ELBE,Elbe,03/14/2010,03/20/2010,,,,,
65,ELBE,Elbe,03/21/2010,03/27/2010,,,,,
66,ELBE,Elbe,03/28/2010,04/03/2010,,,,,
67,ELBE,Elbe,04/04/2010,04/10/2010,,,,,
68,ELBE,Elbe,04/11/2010,04/17/2010,,,,,
69,ELBE,Elbe,04/18/2010,04/24/2010,,,,,
70,ELBE,Elbe,04/25/2010,05/01/2010,,,,,
71,ELBE,Elbe,05/02/2010,05/08/2010,,,,,
72,ELBE,Elbe,05/09/2010,05/15/2010,,,,,
73,ELBE,Elbe,05/16/2010,05/22/2010,,,,,
74,ELBE,Elbe,05/23/2010,05/29/2010,,,,,
75,ELBE,Elbe,05/30/2010,06/05/2010,,,,,
76,ELBE,Elbe,06/06/2010,06/12/2010,,,,,
77,ELBE,Elbe,06/13/2010,06/19/2010,,,,,
78,ELBE,Elbe,06/20/2010,06/26/2010,,,,,
79,ELBE,Elbe,06/27/2010,07/03/2010,,,,,
80,ELBE,Elbe,07/04/2010,07/10/2010,,,,,
81,ELBE,Elbe,07/11/2010,07/17/2010,,,,,
82,ELBE,Elbe,07/18/2010,07/24/2010,,,,,
83,ELBE,Elbe,07/25/2010,07/31/2010,,,,,
84,ELBE,Elbe,08/01/2010,08/07/2010,,,,,
85,ELBE,Elbe,08/08/2010,08/14/2010,,,,,
86,ELBE,Elbe,08/15/2010,08/21/2010,,,,,
87,ELBE,Elbe,08/22/2010,08/28/2010,,,,,
88,ELBE,Elbe,08/29/2010,09/04/2010,,,,,
89,ELBE,Elbe,09/05/2010,09/11/2010,,,,,
90,ELBE,Elbe,09/12/2010,09/18/2010,,,,,
91,ELBE,Elbe,09/19/2010,09/25/2010,,,,,
92,ELBE,Elbe,09/26/2010,10/02/2010,,,,,
93,ELBE,Elbe,10/03/2010,10/09/2010,,,,,
94,ELBE,Elbe,10/10/2010,10/16/2010,,,,,
95,ELBE,Elbe,10/17/2010,10/23/2010,,,,,
96,ELBE,Elbe,10/24/2010,10/30/2010,,,,,
97,ELBE,Elbe,10/31/2010,11/06/2010,,,,,
98,ELBE,Elbe,11/07/2010,11/13/2010,,,,,
99,ELBE,Elbe,11/14/2010,11/20/2010,,,,,
100,ELBE,Elbe,11/21/2010,11/27/2010,,,,,
101,ELBE,Elbe,11/28/2010,12/04/2010,,,,,
102,ELBE,Elbe,12/05/2010,12/11/2010,,,,,
103,ELBE,Elbe,12/12/2010,12/18/2010,,,,,
104,ELBE,Elbe,12/19/2010,12/25/2010,,,,,
105,ELBE,Elbe,12/26/2010,01/01/2011,,,,,
106,ELBE,Elbe,01/02/2011,01/08/2011,,,,,
107,ELBE,Elbe,01/09/2011,01/15/2011,,,,,
108,ELBE,Elbe,01/16/2011,01/22/2011,,,,,
109,ELBE,Elbe,01/23/2011,01/29/2011,,,,,
110,ELBE,Elbe,01/30/2011,02/05/2011,,,,,
111,ELBE,Elbe,02/06/2011,02/12/2011,,,,,
112,ELBE,Elbe,02/13/2011,02/19/2011,,,,,
113,ELBE,Elbe,02/20/2011,02/26/2011,,,,,
114,ELBE,Elbe,02/27/2011,03/05/2011,,,,,
115,ELBE,Elbe,03/06/2011,03/12/2011,,,,,
116,ELBE,Elbe,03/13/2011,03/19/2011,,,,,
117,ELBE,Elbe,03/20/2011,03/26/2011,,,,,
118,ELBE,Elbe,03/27/2011,04/02/2011,,,,,
119,ELBE,Elbe,04/03/2011,04/09/2011,,,,,
120,ELBE,Elbe,04/10/2011,04/16/2011,,,,,
121,ELBE,Elbe,04/17/2011,04/23/2011,,,,,
122,ELBE,Elbe,04/24/2011,04/30/2011,,,,,
123,ELBE,Elbe,05/01/2011,05/07/2011,,,,,
124,ELBE,Elbe,05/08/2011,05/14/2011,,,,,
125,ELBE,Elbe,05/15/2011,05/21/2011,,,,,
126,ELBE,Elbe,05/22/2011,05/28/2011,,,,,
127,ELBE,Elbe,05/29/2011,06/04/2011,,,,,
128,ELBE,Elbe,06/05/2011,06/11/2011,,,,,
129,ELBE,Elbe,06/12/2011,06/18/2011,,,,,
130,ELBE,Elbe,06/19/2011,06/25/2011,,,,,
131,ELBE,Elbe,06/26/2011,07/02/2011,,,,,
132,ELBE,Elbe,07/03/2011,07/09/2011,,,,,
133,ELBE,Elbe,07/10/2011,07/16/2011,,,,,
134,ELBE,Elbe,07/17/2011,07/23/2011,,,,,
135,ELBE,Elbe,07/24/2011,07/30/2011,,,,,
136,ELBE,Elbe,07/31/2011,08/06/2011,,,,,
137,ELBE,Elbe,08/07/2011,08/13/2011,,,,,
138,ELBE,Elbe,08/14/2011,08/20/2011,,,,,
139,ELBE,Elbe,08/21/2011,08/27/2011,,,,,
140,ELBE,Elbe,08/28/2011,09/03/2011,,,,,
141,ELBE,Elbe,09/04/2011,09/10/2011,,,,,
142,ELBE,Elbe,09/11/2011,09/17/2011,,,,,
143,ELBE,Elbe,09/18/2011,09/24/2011,,,,,
144,ELBE,Elbe,09/25/2011,10/01/2011,,,,,
145,ELBE,Elbe,10/02/2011,10/08/2011,,,,,
146,ELBE,Elbe,10/09/2011,10/15/2011,,,,,
147,ELBE,Elbe,10/16/2011,10/22/2011,,,,,
148,ELBE,Elbe,10/23/2011,10/29/2011,,,,,
149,ELBE,Elbe,10/30/2011,11/05/2011,,,,,
150,ELBE,Elbe,11/06/2011,11/12/2011,,,,,
151,ELBE,Elbe,11/13/2011,11/19/2011,,,,,
152,ELBE,Elbe,11/20/2011,11/26/2011,,,,,
153,ELBE,Elbe,11/27/2011,12/03/2011,,,,,
154,ELBE,Elbe,12/04/2011,12/10/2011,,,,,
155,ELBE,Elbe,12/11/2011,12/17/2011,,,,,
156,ELBE,Elbe,12/18/2011,12/24/2011,,,,,
157,ELBE,Elbe,12/25/2011,12/31/2011,,,,,
158,ELBE,Elbe,01/01/2012,01/07/2012,,,,,
159,ELBE,Elbe,01/08/2012,01/14/2012,,,,,
160,ELBE,Elbe,01/15/2012,01/21/2012,,,,,
161,ELBE,Elbe,01/22/2012,01/28/2012,,,,,
162,ELBE,Elbe,01/29/2012,02/04/2012,,,,,
163,ELBE,Elbe,02/05/2012,02/11/2012,,,,,
164,ELBE,Elbe,02/12/2012,02/18/2012,,,,,
165,ELBE,Elbe,02/19/2012,02/25/2012,,,,,
166,ELBE,Elbe,02/26/2012,03/03/2012,,,,,
167,ELBE,Elbe,03/04/2012,03/10/2012,,,,,
168,ELBE,Elbe,03/11/2012,03/17/2012,,,,,
169,ELBE,Elbe,03/18/2012,03/24/2012,,,,,
170,ELBE,Elbe,03/25/2012,03/31/2012,,,,,
171,ELBE,Elbe,04/01/2012,04/07/2012,,,,,
172,ELBE,Elbe,04/08/2012,04/14/2012,,,,,
173,ELBE,Elbe,04/15/2012,04/21/2012,,,,,
174,ELBE,Elbe,04/22/2012,04/28/2012,,,,,
175,ELBE,Elbe,04/29/2012,05/05/2012,,,,,
176,ELBE,Elbe,05/06/2012,05/12/2012,,,,,
177,ELBE,Elbe,05/13/2012,05/19/2012,,,,,
178,ELBE,Elbe,05/20/2012,05/26/2012,,,,,
179,ELBE,Elbe,05/27/2012,06/02/2012,,,,,
180,ELBE,Elbe,06/03/2012,06/09/2012,,,,,
181,ELBE,Elbe,06/10/2012,06/16/2012,,,,,
182,ELBE,Elbe,06/17/2012,06/23/2012,,,,,
183,ELBE,Elbe,06/24/2012,06/30/2012,,,,,
184,ELBE,Elbe,07/01/2012,07/07/2012,,,,,
185,ELBE,Elbe,07/08/2012,07/14/2012,,,,,
186,ELBE,Elbe,07/15/2012,07/21/2012,,,,,
187,ELBE,Elbe,07/22/2012,07/28/2012,,,,,
188,ELBE,Elbe,07/29/2012,08/04/2012,,,,,
189,ELBE,Elbe,08/05/2012,08/11/2012,,,,,
190,ELBE,Elbe,08/12/2012,08/18/2012,,,,,
191,ELBE,Elbe,08/19/2012,08/25/2012,,,,,
192,ELBE,Elbe,08/26/2012,09/01/2012,,,,,
193,ELBE,Elbe,09/02/2012,09/08/2012,,,,,
194,ELBE,Elbe,09/09/2012,09/15/2012,,,,,
195,ELBE,Elbe,09/16/2012,09/22/2012,,,,,
196,ELBE,Elbe,09/23/2012,09/29/2012,,,,,
197,ELBE,Elbe,09/30/2012,10/06/2012,,,,,
198,ELBE,Elbe,10/07/2012,10/13/2012,,,,,
199,ELBE,Elbe,10/14/2012,10/20/2012,,,,,
200,ELBE,Elbe,10/21/2012,10/27/2012,,,,,
201,ELBE,Elbe,10/28/2012,11/03/2012,,,,,
202,ELBE,Elbe,11/04/2012,11/10/2012,,,,,
203,ELBE,Elbe,11/11/2012,11/17/2012,,,,,
204,ELBE,Elbe,11/18/2012,11/24/2012,,,,,
205,ELBE,Elbe,11/25/2012,12/01/2012,,,,,
206,ELBE,Elbe,12/02/2012,12/08/2012,,,,,
207,ELBE,Elbe,12/09/2012,12/15/2012,,,,,
208,ELBE,Elbe,12/16/2012,12/22/2012,,,,,
209,ELBE,Elbe,12/23/2012,12/29/2012,,,,,
210,ELBE,Elbe,12/30/2012,01/05/2013,,,,,
211,ELBE,Elbe,01/06/2013,01/12/2013,,,,,
212,ELBE,Elbe,01/13/2013,01/19/2013,,,,,
