index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,EMSX,Ems,06/30/2008,06/30/2009,,,,,
1,EMSX,Ems,07/01/2009,06/30/2010,,,,,
2,EMSX,Ems,07/01/2010,06/30/2011,,,,,
3,EMSX,Ems,07/01/2011,06/30/2012,,,,,
4,EMSX,Ems,07/01/2012,06/30/2013,,,,,
5,EMSX,Ems,07/01/2013,06/30/2014,,,,,
6,EMSX,Ems,07/01/2014,06/30/2015,,,,,
7,EMSX,Ems,07/01/2015,06/30/2016,,,,,
8,EMSX,Ems,07/01/2016,06/30/2017,,,,,
9,EMSX,Ems,07/01/2017,06/30/2018,,,,,
10,EMSX,Ems,07/01/2018,06/30/2019,,,,,
11,EMSX,Ems,07/01/2019,06/30/2020,,,,,
12,EMSX,Ems,07/01/2020,06/30/2021,,,,,
13,EMSX,Ems,07/01/2021,06/30/2022,,,,,
14,EMSX,Ems,07/01/2022,07/01/2023,,,,,
15,EMSX,Ems,2023-07-02 00:00:00,2023-12-31 00:00:00,,,,,
16,EMSX,Ems,2024-01-01 00:00:00,2024-03-15 00:00:00,,,,,
