index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,FRSR,Fraser,06/30/2008,07/05/2008,,,,,
1,FRSR,Fraser,07/06/2008,07/12/2008,,,,,
2,FRSR,Fraser,07/13/2008,07/19/2008,,,,,
3,FRSR,Fraser,07/20/2008,07/26/2008,,,,,
4,FRSR,Fraser,07/27/2008,08/02/2008,,,,,
5,FRSR,Fraser,08/03/2008,08/09/2008,,,,,
6,FRSR,Fraser,08/10/2008,08/16/2008,,,,,
7,FRSR,Fraser,08/17/2008,08/23/2008,,,,,
8,FRSR,Fraser,08/24/2008,08/30/2008,,,,,
9,FRSR,Fraser,08/31/2008,09/06/2008,,,,,
10,FRSR,Fraser,09/07/2008,09/13/2008,,,,,
11,FRSR,Fraser,09/14/2008,09/20/2008,,,,,
12,FRSR,Fraser,09/21/2008,09/27/2008,,,,,
13,FRSR,Fraser,09/28/2008,10/04/2008,,,,,
14,FRSR,Fraser,10/05/2008,10/11/2008,,,,,
15,FRSR,Fraser,10/12/2008,10/18/2008,,,,,
16,FRSR,Fraser,10/19/2008,10/25/2008,,,,,
17,FRSR,Fraser,10/26/2008,11/01/2008,,,,,
18,FRSR,Fraser,11/02/2008,11/08/2008,,,,,
19,FRSR,Fraser,11/09/2008,11/15/2008,,,,,
20,FRSR,Fraser,11/16/2008,11/22/2008,,,,,
21,FRSR,Fraser,11/23/2008,11/29/2008,,,,,
22,FRSR,Fraser,11/30/2008,12/06/2008,,,,,
23,FRSR,Fraser,12/07/2008,12/13/2008,,,,,
24,FRSR,Fraser,12/14/2008,12/20/2008,,,,,
25,FRSR,Fraser,12/21/2008,12/27/2008,,,,,
26,FRSR,Fraser,12/28/2008,01/03/2009,,,,,
27,FRSR,Fraser,01/04/2009,01/10/2009,,,,,
28,FRSR,Fraser,01/11/2009,01/17/2009,,,,,
29,FRSR,Fraser,01/18/2009,01/24/2009,,,,,
30,FRSR,Fraser,01/25/2009,01/31/2009,,,,,
31,FRSR,Fraser,02/01/2009,02/07/2009,,,,,
32,FRSR,Fraser,02/08/2009,02/14/2009,,,,,
33,FRSR,Fraser,02/15/2009,02/21/2009,,,,,
34,FRSR,Fraser,02/22/2009,02/28/2009,,,,,
35,FRSR,Fraser,03/01/2009,03/07/2009,,,,,
36,FRSR,Fraser,03/08/2009,03/14/2009,,,,,
37,FRSR,Fraser,03/15/2009,03/21/2009,,,,,
38,FRSR,Fraser,03/22/2009,03/28/2009,,,,,
39,FRSR,Fraser,03/29/2009,04/04/2009,,,,,
40,FRSR,Fraser,04/05/2009,04/11/2009,,,,,
41,FRSR,Fraser,04/12/2009,04/18/2009,,,,,
42,FRSR,Fraser,04/19/2009,04/25/2009,,,,,
43,FRSR,Fraser,04/26/2009,05/02/2009,,,,,
44,FRSR,Fraser,05/03/2009,05/09/2009,,,,,
45,FRSR,Fraser,05/10/2009,05/16/2009,,,,,
46,FRSR,Fraser,05/17/2009,05/23/2009,,,,,
47,FRSR,Fraser,05/24/2009,05/30/2009,,,,,
48,FRSR,Fraser,05/31/2009,06/06/2009,,,,,
49,FRSR,Fraser,06/07/2009,06/13/2009,,,,,
50,FRSR,Fraser,06/14/2009,06/20/2009,,,,,
51,FRSR,Fraser,06/21/2009,06/27/2009,,,,,
52,FRSR,Fraser,06/28/2009,07/04/2009,,,,,
53,FRSR,Fraser,07/05/2009,07/11/2009,,,,,
54,FRSR,Fraser,07/12/2009,07/18/2009,,,,,
55,FRSR,Fraser,07/19/2009,07/25/2009,,,,,
56,FRSR,Fraser,07/26/2009,08/01/2009,,,,,
57,FRSR,Fraser,08/02/2009,08/08/2009,,,,,
58,FRSR,Fraser,08/09/2009,08/15/2009,,,,,
59,FRSR,Fraser,08/16/2009,08/22/2009,,,,,
60,FRSR,Fraser,08/23/2009,08/29/2009,,,,,
61,FRSR,Fraser,08/30/2009,09/05/2009,,,,,
62,FRSR,Fraser,09/06/2009,09/12/2009,,,,,
63,FRSR,Fraser,09/13/2009,09/19/2009,,,,,
64,FRSR,Fraser,09/20/2009,09/26/2009,,,,,
65,FRSR,Fraser,09/27/2009,10/03/2009,,,,,
66,FRSR,Fraser,10/04/2009,10/10/2009,,,,,
67,FRSR,Fraser,10/11/2009,10/17/2009,,,,,
68,FRSR,Fraser,10/18/2009,10/24/2009,,,,,
69,FRSR,Fraser,10/25/2009,10/31/2009,,,,,
70,FRSR,Fraser,11/01/2009,11/07/2009,,,,,
71,FRSR,Fraser,11/08/2009,11/14/2009,,,,,
72,FRSR,Fraser,11/15/2009,11/21/2009,,,,,
73,FRSR,Fraser,11/22/2009,11/28/2009,,,,,
74,FRSR,Fraser,11/29/2009,12/05/2009,,,,,
75,FRSR,Fraser,12/06/2009,12/12/2009,,,,,
76,FRSR,Fraser,12/13/2009,12/19/2009,,,,,
77,FRSR,Fraser,12/20/2009,12/26/2009,,,,,
78,FRSR,Fraser,12/27/2009,01/02/2010,,,,,
79,FRSR,Fraser,01/03/2010,01/09/2010,,,,,
80,FRSR,Fraser,01/10/2010,01/16/2010,,,,,
81,FRSR,Fraser,01/17/2010,01/23/2010,,,,,
82,FRSR,Fraser,01/24/2010,01/30/2010,,,,,
83,FRSR,Fraser,01/31/2010,02/06/2010,,,,,
84,FRSR,Fraser,02/07/2010,02/13/2010,,,,,
85,FRSR,Fraser,02/14/2010,02/20/2010,,,,,
86,FRSR,Fraser,02/21/2010,02/27/2010,,,,,
87,FRSR,Fraser,02/28/2010,03/06/2010,,,,,
88,FRSR,Fraser,03/07/2010,03/13/2010,,,,,
89,FRSR,Fraser,03/14/2010,03/20/2010,,,,,
90,FRSR,Fraser,03/21/2010,03/27/2010,,,,,
91,FRSR,Fraser,03/28/2010,04/03/2010,,,,,
92,FRSR,Fraser,04/04/2010,04/10/2010,,,,,
93,FRSR,Fraser,04/11/2010,04/17/2010,,,,,
94,FRSR,Fraser,04/18/2010,04/24/2010,,,,,
95,FRSR,Fraser,04/25/2010,05/01/2010,,,,,
96,FRSR,Fraser,05/02/2010,05/08/2010,,,,,
97,FRSR,Fraser,05/09/2010,05/15/2010,,,,,
98,FRSR,Fraser,05/16/2010,05/22/2010,,,,,
99,FRSR,Fraser,05/23/2010,05/29/2010,,,,,
100,FRSR,Fraser,05/30/2010,06/05/2010,,,,,
101,FRSR,Fraser,06/06/2010,06/12/2010,,,,,
102,FRSR,Fraser,06/13/2010,06/19/2010,,,,,
103,FRSR,Fraser,06/20/2010,06/26/2010,,,,,
104,FRSR,Fraser,06/27/2010,07/03/2010,,,,,
105,FRSR,Fraser,07/04/2010,07/10/2010,,,,,
106,FRSR,Fraser,07/11/2010,07/17/2010,,,,,
107,FRSR,Fraser,07/18/2010,07/24/2010,,,,,
108,FRSR,Fraser,07/25/2010,07/31/2010,,,,,
109,FRSR,Fraser,08/01/2010,08/07/2010,,,,,
110,FRSR,Fraser,08/08/2010,08/14/2010,,,,,
111,FRSR,Fraser,08/15/2010,08/21/2010,,,,,
112,FRSR,Fraser,08/22/2010,08/28/2010,,,,,
113,FRSR,Fraser,08/29/2010,09/04/2010,,,,,
114,FRSR,Fraser,09/05/2010,09/11/2010,,,,,
115,FRSR,Fraser,09/12/2010,09/18/2010,,,,,
116,FRSR,Fraser,09/19/2010,09/25/2010,,,,,
117,FRSR,Fraser,09/26/2010,10/02/2010,,,,,
118,FRSR,Fraser,10/03/2010,10/09/2010,,,,,
119,FRSR,Fraser,10/10/2010,10/16/2010,,,,,
120,FRSR,Fraser,10/17/2010,10/23/2010,,,,,
121,FRSR,Fraser,10/24/2010,10/30/2010,,,,,
122,FRSR,Fraser,10/31/2010,11/06/2010,,,,,
123,FRSR,Fraser,11/07/2010,11/13/2010,,,,,
124,FRSR,Fraser,11/14/2010,11/20/2010,,,,,
125,FRSR,Fraser,11/21/2010,11/27/2010,,,,,
126,FRSR,Fraser,11/28/2010,12/04/2010,,,,,
127,FRSR,Fraser,12/05/2010,12/11/2010,,,,,
128,FRSR,Fraser,12/12/2010,12/18/2010,,,,,
129,FRSR,Fraser,12/19/2010,12/25/2010,,,,,
130,FRSR,Fraser,12/26/2010,01/01/2011,,,,,
131,FRSR,Fraser,01/02/2011,01/08/2011,,,,,
132,FRSR,Fraser,01/09/2011,01/15/2011,,,,,
133,FRSR,Fraser,01/16/2011,01/22/2011,,,,,
134,FRSR,Fraser,01/23/2011,01/29/2011,,,,,
135,FRSR,Fraser,01/30/2011,02/05/2011,,,,,
136,FRSR,Fraser,02/06/2011,02/12/2011,,,,,
137,FRSR,Fraser,02/13/2011,02/19/2011,,,,,
138,FRSR,Fraser,02/20/2011,02/26/2011,,,,,
139,FRSR,Fraser,02/27/2011,03/05/2011,,,,,
140,FRSR,Fraser,03/06/2011,03/12/2011,,,,,
141,FRSR,Fraser,03/13/2011,03/19/2011,,,,,
142,FRSR,Fraser,03/20/2011,03/26/2011,,,,,
143,FRSR,Fraser,03/27/2011,04/02/2011,,,,,
144,FRSR,Fraser,04/03/2011,04/09/2011,,,,,
145,FRSR,Fraser,04/10/2011,04/16/2011,,,,,
146,FRSR,Fraser,04/17/2011,04/23/2011,,,,,
147,FRSR,Fraser,04/24/2011,04/30/2011,,,,,
148,FRSR,Fraser,05/01/2011,05/07/2011,,,,,
149,FRSR,Fraser,05/08/2011,05/14/2011,,,,,
150,FRSR,Fraser,05/15/2011,05/21/2011,,,,,
151,FRSR,Fraser,05/22/2011,05/28/2011,,,,,
152,FRSR,Fraser,05/29/2011,06/04/2011,,,,,
153,FRSR,Fraser,06/05/2011,06/11/2011,,,,,
154,FRSR,Fraser,06/12/2011,06/18/2011,,,,,
155,FRSR,Fraser,06/19/2011,06/25/2011,,,,,
156,FRSR,Fraser,06/26/2011,07/02/2011,,,,,
157,FRSR,Fraser,07/03/2011,07/09/2011,,,,,
158,FRSR,Fraser,07/10/2011,07/16/2011,,,,,
159,FRSR,Fraser,07/17/2011,07/23/2011,,,,,
160,FRSR,Fraser,07/24/2011,07/30/2011,,,,,
161,FRSR,Fraser,07/31/2011,08/06/2011,,,,,
162,FRSR,Fraser,08/07/2011,08/13/2011,,,,,
163,FRSR,Fraser,08/14/2011,08/20/2011,,,,,
164,FRSR,Fraser,08/21/2011,08/27/2011,,,,,
165,FRSR,Fraser,08/28/2011,09/03/2011,,,,,
166,FRSR,Fraser,09/04/2011,09/10/2011,,,,,
167,FRSR,Fraser,09/11/2011,09/17/2011,,,,,
168,FRSR,Fraser,09/18/2011,09/24/2011,,,,,
169,FRSR,Fraser,09/25/2011,10/01/2011,,,,,
170,FRSR,Fraser,10/02/2011,10/08/2011,,,,,
171,FRSR,Fraser,10/09/2011,10/15/2011,,,,,
172,FRSR,Fraser,10/16/2011,10/22/2011,,,,,
173,FRSR,Fraser,10/23/2011,10/29/2011,,,,,
174,FRSR,Fraser,10/30/2011,11/05/2011,,,,,
175,FRSR,Fraser,11/06/2011,11/12/2011,,,,,
176,FRSR,Fraser,11/13/2011,11/19/2011,,,,,
177,FRSR,Fraser,11/20/2011,11/26/2011,,,,,
178,FRSR,Fraser,11/27/2011,12/03/2011,,,,,
179,FRSR,Fraser,12/04/2011,12/10/2011,,,,,
180,FRSR,Fraser,12/11/2011,12/17/2011,,,,,
181,FRSR,Fraser,12/18/2011,12/24/2011,,,,,
182,FRSR,Fraser,12/25/2011,12/31/2011,,,,,
183,FRSR,Fraser,01/01/2012,01/07/2012,,,,,
184,FRSR,Fraser,01/08/2012,01/14/2012,,,,,
185,FRSR,Fraser,01/15/2012,01/21/2012,,,,,
186,FRSR,Fraser,01/22/2012,01/28/2012,,,,,
