index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,FRTH,Firth,06/30/2008,09/30/2008,,,,,
1,FRTH,Firth,10/01/2008,12/31/2008,,,,,
2,FRTH,Firth,01/01/2009,03/31/2009,,,,,
3,FRTH,Firth,04/01/2009,06/30/2009,,,,,
4,FRTH,Firth,07/01/2009,09/30/2009,,,,,
5,FRTH,Firth,10/01/2009,12/31/2009,,,,,
6,FRTH,Firth,01/01/2010,03/31/2010,,,,,
7,FRTH,Firth,04/01/2010,06/30/2010,,,,,
8,FRTH,Firth,07/01/2010,08/31/2010,,,,,
9,FRTH,Firth,09/01/2010,10/31/2010,,,,,
10,FRTH,Firth,11/01/2010,12/31/2010,,,,,
11,FRTH,Firth,01/01/2011,02/28/2011,,,,,
12,FRTH,Firth,03/01/2011,04/30/2011,,,,,
13,FRTH,Firth,05/01/2011,06/30/2011,,,,,
14,FRTH,Firth,07/01/2011,08/31/2011,,,,,
15,FRTH,Firth,09/01/2011,10/31/2011,,,,,
16,FRTH,Firth,11/01/2011,12/31/2011,,,,,
17,FRTH,Firth,01/01/2012,02/29/2012,,,,,
18,FRTH,Firth,03/01/2012,04/30/2012,,,,,
19,FRTH,Firth,05/01/2012,06/30/2012,,,,,
20,FRTH,Firth,07/01/2012,07/31/2012,,,,,
21,FRTH,Firth,08/01/2012,08/31/2012,,,,,
22,FRTH,Firth,09/01/2012,09/30/2012,,,,,
23,FRTH,Firth,10/01/2012,10/31/2012,,,,,
24,FRTH,Firth,11/01/2012,11/30/2012,,,,,
25,FRTH,Firth,12/01/2012,12/31/2012,,,,,
26,FRTH,Firth,01/01/2013,01/31/2013,,,,,
27,FRTH,Firth,02/01/2013,02/28/2013,,,,,
28,FRTH,Firth,03/01/2013,03/31/2013,,,,,
29,FRTH,Firth,04/01/2013,04/30/2013,,,,,
30,FRTH,Firth,05/01/2013,05/31/2013,,,,,
31,FRTH,Firth,06/01/2013,06/30/2013,,,,,
32,FRTH,Firth,07/01/2013,07/31/2013,,,,,
33,FRTH,Firth,08/01/2013,08/31/2013,,,,,
34,FRTH,Firth,09/01/2013,09/30/2013,,,,,
35,FRTH,Firth,10/01/2013,10/31/2013,,,,,
36,FRTH,Firth,11/01/2013,11/30/2013,,,,,
37,FRTH,Firth,12/01/2013,12/31/2013,,,,,
38,FRTH,Firth,01/01/2014,01/31/2014,,,,,
39,FRTH,Firth,02/01/2014,02/28/2014,,,,,
40,FRTH,Firth,03/01/2014,03/31/2014,,,,,
41,FRTH,Firth,04/01/2014,04/30/2014,,,,,
42,FRTH,Firth,05/01/2014,05/31/2014,,,,,
43,FRTH,Firth,06/01/2014,06/30/2014,,,,,
44,FRTH,Firth,07/01/2014,07/31/2014,,,,,
45,FRTH,Firth,08/01/2014,08/31/2014,,,,,
46,FRTH,Firth,09/01/2014,09/30/2014,,,,,
47,FRTH,Firth,10/01/2014,10/31/2014,,,,,
48,FRTH,Firth,11/01/2014,11/30/2014,,,,,
49,FRTH,Firth,12/01/2014,12/31/2014,,,,,
50,FRTH,Firth,01/01/2015,01/31/2015,,,,,
51,FRTH,Firth,02/01/2015,02/28/2015,,,,,
52,FRTH,Firth,03/01/2015,03/31/2015,,,,,
53,FRTH,Firth,04/01/2015,04/30/2015,,,,,
54,FRTH,Firth,05/01/2015,05/31/2015,,,,,
55,FRTH,Firth,06/01/2015,06/30/2015,,,,,
56,FRTH,Firth,07/01/2015,07/31/2015,,,,,
57,FRTH,Firth,08/01/2015,08/31/2015,,,,,
58,FRTH,Firth,09/01/2015,09/30/2015,,,,,
59,FRTH,Firth,10/01/2015,10/31/2015,,,,,
60,FRTH,Firth,11/01/2015,11/30/2015,,,,,
61,FRTH,Firth,12/01/2015,12/31/2015,,,,,
62,FRTH,Firth,01/01/2016,01/31/2016,,,,,
63,FRTH,Firth,02/01/2016,02/29/2016,,,,,
64,FRTH,Firth,03/01/2016,03/31/2016,,,,,
65,FRTH,Firth,04/01/2016,04/30/2016,,,,,
66,FRTH,Firth,05/01/2016,05/31/2016,,,,,
67,FRTH,Firth,06/01/2016,06/30/2016,,,,,
68,FRTH,Firth,07/01/2016,07/31/2016,,,,,
69,FRTH,Firth,08/01/2016,08/31/2016,,,,,
70,FRTH,Firth,09/01/2016,09/30/2016,,,,,
71,FRTH,Firth,10/01/2016,10/31/2016,,,,,
72,FRTH,Firth,11/01/2016,11/30/2016,,,,,
73,FRTH,Firth,12/01/2016,12/31/2016,,,,,
74,FRTH,Firth,01/01/2017,01/31/2017,,,,,
75,FRTH,Firth,02/01/2017,02/28/2017,,,,,
76,FRTH,Firth,03/01/2017,03/31/2017,,,,,
77,FRTH,Firth,04/01/2017,04/30/2017,,,,,
78,FRTH,Firth,05/01/2017,05/31/2017,,,,,
79,FRTH,Firth,06/01/2017,06/30/2017,,,,,
80,FRTH,Firth,07/01/2017,07/31/2017,,,,,
81,FRTH,Firth,08/01/2017,08/31/2017,,,,,
82,FRTH,Firth,09/01/2017,09/30/2017,,,,,
83,FRTH,Firth,10/01/2017,10/31/2017,,,,,
84,FRTH,Firth,11/01/2017,11/30/2017,,,,,
85,FRTH,Firth,12/01/2017,12/31/2017,,,,,
86,FRTH,Firth,01/01/2018,01/31/2018,,,,,
87,FRTH,Firth,02/01/2018,02/28/2018,,,,,
88,FRTH,Firth,03/01/2018,03/31/2018,,,,,
