index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,GRON,Garonne,06/30/2008,07/31/2008,,,,,
1,GRON,Garonne,08/01/2008,08/31/2008,,,,,
2,GRON,Garonne,09/01/2009,09/30/2008,,,,,
3,GRON,Garonne,10/01/2009,10/10/2009,,,,,
4,GRON,Garonne,10/11/2009,10/17/2009,,,,,
5,GRON,Garonne,10/18/2009,10/24/2009,,,,,
6,GRON,Garonne,10/25/2009,10/31/2009,,,,,
7,GRON,Garonne,11/01/2009,11/07/2009,,,,,
8,GRON,Garonne,11/08/2009,11/14/2009,,,,,
9,GRON,Garonne,11/15/2009,11/21/2009,,,,,
10,GRON,Garonne,11/22/2009,11/28/2009,,,,,
11,GRON,Garonne,11/29/2009,12/05/2009,,,,,
12,GRON,Garonne,12/06/2009,12/12/2009,,,,,
13,GRON,Garonne,12/13/2009,12/19/2009,,,,,
14,GRON,Garonne,12/20/2009,12/26/2009,,,,,
15,GRON,Garonne,12/27/2009,01/02/2010,,,,,
16,GRON,Garonne,01/03/2010,01/09/2010,,,,,
17,GRON,Garonne,01/10/2010,01/16/2010,,,,,
18,GRON,Garonne,01/17/2010,01/23/2010,,,,,
19,GRON,Garonne,01/24/2010,01/30/2010,,,,,
20,GRON,Garonne,01/31/2010,02/06/2010,,,,,
21,GRON,Garonne,02/07/2010,02/13/2010,,,,,
22,GRON,Garonne,02/14/2010,02/20/2010,,,,,
23,GRON,Garonne,02/21/2010,02/27/2010,,,,,
24,GRON,Garonne,02/28/2010,03/06/2010,,,,,
25,GRON,Garonne,03/07/2010,03/13/2010,,,,,
26,GRON,Garonne,03/14/2010,03/20/2010,,,,,
27,GRON,Garonne,03/21/2010,03/27/2010,,,,,
28,GRON,Garonne,03/28/2010,04/03/2010,,,,,
29,GRON,Garonne,04/04/2010,04/10/2010,,,,,
30,GRON,Garonne,04/11/2010,04/17/2010,,,,,
31,GRON,Garonne,04/18/2010,04/24/2010,,,,,
32,GRON,Garonne,04/25/2010,05/01/2010,,,,,
33,GRON,Garonne,05/02/2010,05/08/2010,,,,,
34,GRON,Garonne,05/09/2010,05/15/2010,,,,,
35,GRON,Garonne,05/16/2010,05/22/2010,,,,,
36,GRON,Garonne,05/23/2010,05/29/2010,,,,,
37,GRON,Garonne,05/30/2010,06/05/2010,,,,,
38,GRON,Garonne,06/06/2010,06/12/2010,,,,,
39,GRON,Garonne,06/13/2010,06/19/2010,,,,,
40,GRON,Garonne,06/20/2010,06/26/2010,,,,,
41,GRON,Garonne,06/27/2010,07/03/2010,,,,,
42,GRON,Garonne,07/04/2010,07/10/2010,,,,,
43,GRON,Garonne,07/11/2010,07/17/2010,,,,,
44,GRON,Garonne,07/18/2010,07/24/2010,,,,,
45,GRON,Garonne,07/25/2010,07/31/2010,,,,,
46,GRON,Garonne,08/01/2010,08/07/2010,,,,,
47,GRON,Garonne,08/08/2010,08/14/2010,,,,,
48,GRON,Garonne,08/15/2010,08/21/2010,,,,,
49,GRON,Garonne,08/22/2010,08/28/2010,,,,,
50,GRON,Garonne,08/29/2010,09/04/2010,,,,,
51,GRON,Garonne,09/05/2010,09/11/2010,,,,,
52,GRON,Garonne,09/12/2010,09/18/2010,,,,,
53,GRON,Garonne,09/19/2010,09/25/2010,,,,,
54,GRON,Garonne,09/26/2010,10/02/2010,,,,,
55,GRON,Garonne,10/03/2010,10/09/2010,,,,,
56,GRON,Garonne,10/10/2010,10/16/2010,,,,,
57,GRON,Garonne,10/17/2010,10/23/2010,,,,,
58,GRON,Garonne,10/24/2010,10/30/2010,,,,,
59,GRON,Garonne,10/31/2010,11/06/2010,,,,,
60,GRON,Garonne,11/07/2010,11/13/2010,,,,,
61,GRON,Garonne,11/14/2010,11/20/2010,,,,,
62,GRON,Garonne,11/21/2010,11/27/2010,,,,,
63,GRON,Garonne,11/28/2010,12/04/2010,,,,,
64,GRON,Garonne,12/05/2010,12/11/2010,,,,,
65,GRON,Garonne,12/12/2010,12/18/2010,,,,,
66,GRON,Garonne,12/19/2010,12/25/2010,,,,,
67,GRON,Garonne,12/26/2010,01/01/2011,,,,,
68,GRON,Garonne,01/02/2011,01/08/2011,,,,,
69,GRON,Garonne,01/09/2011,01/15/2011,,,,,
70,GRON,Garonne,01/16/2011,01/22/2011,,,,,
71,GRON,Garonne,01/23/2011,01/29/2011,,,,,
72,GRON,Garonne,01/30/2011,02/05/2011,,,,,
73,GRON,Garonne,02/06/2011,02/12/2011,,,,,
74,GRON,Garonne,02/13/2011,02/19/2011,,,,,
75,GRON,Garonne,02/20/2011,02/26/2011,,,,,
76,GRON,Garonne,02/27/2011,03/05/2011,,,,,
77,GRON,Garonne,03/06/2011,03/12/2011,,,,,
78,GRON,Garonne,03/13/2011,03/19/2011,,,,,
79,GRON,Garonne,03/20/2011,03/26/2011,,,,,
80,GRON,Garonne,03/27/2011,04/02/2011,,,,,
81,GRON,Garonne,04/03/2011,04/09/2011,,,,,
82,GRON,Garonne,04/10/2011,04/16/2011,,,,,
83,GRON,Garonne,04/17/2011,04/23/2011,,,,,
84,GRON,Garonne,04/24/2011,04/30/2011,,,,,
85,GRON,Garonne,05/01/2011,05/07/2011,,,,,
86,GRON,Garonne,05/08/2011,05/14/2011,,,,,
87,GRON,Garonne,05/15/2011,05/21/2011,,,,,
88,GRON,Garonne,05/22/2011,05/28/2011,,,,,
89,GRON,Garonne,05/29/2011,06/04/2011,,,,,
90,GRON,Garonne,06/05/2011,06/11/2011,,,,,
91,GRON,Garonne,06/12/2011,06/18/2011,,,,,
92,GRON,Garonne,06/19/2011,06/25/2011,,,,,
93,GRON,Garonne,06/26/2011,07/02/2011,,,,,
94,GRON,Garonne,07/03/2011,07/09/2011,,,,,
95,GRON,Garonne,07/10/2011,07/16/2011,,,,,
96,GRON,Garonne,07/17/2011,07/23/2011,,,,,
97,GRON,Garonne,07/24/2011,07/30/2011,,,,,
98,GRON,Garonne,07/31/2011,08/06/2011,,,,,
99,GRON,Garonne,08/07/2011,08/13/2011,,,,,
100,GRON,Garonne,08/14/2011,08/20/2011,,,,,
101,GRON,Garonne,08/21/2011,08/27/2011,,,,,
102,GRON,Garonne,08/28/2011,09/03/2011,,,,,
103,GRON,Garonne,09/04/2011,09/10/2011,,,,,
104,GRON,Garonne,09/11/2011,09/17/2011,,,,,
105,GRON,Garonne,09/18/2011,09/24/2011,,,,,
106,GRON,Garonne,09/25/2011,10/01/2011,,,,,
107,GRON,Garonne,10/02/2011,10/08/2011,,,,,
108,GRON,Garonne,10/09/2011,10/15/2011,,,,,
109,GRON,Garonne,10/16/2011,10/22/2011,,,,,
110,GRON,Garonne,10/23/2011,10/29/2011,,,,,
111,GRON,Garonne,10/30/2011,11/05/2011,,,,,
112,GRON,Garonne,11/06/2011,11/12/2011,,,,,
113,GRON,Garonne,11/13/2011,11/19/2011,,,,,
114,GRON,Garonne,11/20/2011,11/26/2011,,,,,
115,GRON,Garonne,11/27/2011,12/03/2011,,,,,
116,GRON,Garonne,12/04/2011,12/10/2011,,,,,
117,GRON,Garonne,12/11/2011,12/17/2011,,,,,
118,GRON,Garonne,12/18/2011,12/24/2011,,,,,
119,GRON,Garonne,12/25/2011,12/31/2011,,,,,
120,GRON,Garonne,01/01/2012,01/07/2012,,,,,
121,GRON,Garonne,01/08/2012,01/14/2012,,,,,
122,GRON,Garonne,01/15/2012,01/21/2012,,,,,
123,GRON,Garonne,01/22/2012,01/28/2012,,,,,
124,GRON,Garonne,01/29/2012,02/04/2012,,,,,
125,GRON,Garonne,02/05/2012,02/11/2012,,,,,
126,GRON,Garonne,02/12/2012,02/18/2012,,,,,
127,GRON,Garonne,02/19/2012,02/25/2012,,,,,
128,GRON,Garonne,02/26/2012,03/03/2012,,,,,
129,GRON,Garonne,03/04/2012,03/10/2012,,,,,
130,GRON,Garonne,03/11/2012,03/17/2012,,,,,
131,GRON,Garonne,03/18/2012,03/24/2012,,,,,
132,GRON,Garonne,03/25/2012,03/31/2012,,,,,
133,GRON,Garonne,04/01/2012,04/07/2012,,,,,
134,GRON,Garonne,04/08/2012,04/14/2012,,,,,
135,GRON,Garonne,04/15/2012,04/21/2012,,,,,
136,GRON,Garonne,04/22/2012,04/28/2012,,,,,
137,GRON,Garonne,04/29/2012,05/05/2012,,,,,
138,GRON,Garonne,05/06/2012,05/12/2012,,,,,
139,GRON,Garonne,05/13/2012,05/19/2012,,,,,
140,GRON,Garonne,05/20/2012,05/26/2012,,,,,
141,GRON,Garonne,05/27/2012,06/02/2012,,,,,
142,GRON,Garonne,06/03/2012,06/09/2012,,,,,
143,GRON,Garonne,06/10/2012,06/16/2012,,,,,
144,GRON,Garonne,06/17/2012,06/23/2012,,,,,
145,GRON,Garonne,06/24/2012,06/30/2012,,,,,
146,GRON,Garonne,07/01/2012,07/07/2012,,,,,
147,GRON,Garonne,07/08/2012,07/14/2012,,,,,
148,GRON,Garonne,07/15/2012,07/21/2012,,,,,
149,GRON,Garonne,07/22/2012,07/28/2012,,,,,
150,GRON,Garonne,07/29/2012,08/04/2012,,,,,
151,GRON,Garonne,08/05/2012,08/11/2012,,,,,
152,GRON,Garonne,08/12/2012,08/18/2012,,,,,
153,GRON,Garonne,08/19/2012,08/25/2012,,,,,
154,GRON,Garonne,08/26/2012,09/01/2012,,,,,
155,GRON,Garonne,09/02/2012,09/08/2012,,,,,
156,GRON,Garonne,09/09/2012,09/15/2012,,,,,
157,GRON,Garonne,09/16/2012,09/22/2012,,,,,
158,GRON,Garonne,09/23/2012,09/29/2012,,,,,
159,GRON,Garonne,09/30/2012,10/06/2012,,,,,
160,GRON,Garonne,10/07/2012,10/13/2012,,,,,
161,GRON,Garonne,10/14/2012,10/20/2012,,,,,
162,GRON,Garonne,10/21/2012,10/27/2012,,,,,
163,GRON,Garonne,10/28/2012,11/03/2012,,,,,
164,GRON,Garonne,11/04/2012,11/10/2012,,,,,
165,GRON,Garonne,11/11/2012,11/17/2012,,,,,
166,GRON,Garonne,11/18/2012,11/24/2012,,,,,
167,GRON,Garonne,11/25/2012,12/01/2012,,,,,
168,GRON,Garonne,12/02/2012,12/08/2012,,,,,
169,GRON,Garonne,12/09/2012,12/15/2012,,,,,
170,GRON,Garonne,12/16/2012,12/22/2012,,,,,
