index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,HANX,Han,2008-06-30,2010-06-30,,,,,
1,HANX,Han,2010-07-01,2012-06-30,,,,,
2,HANX,Han,2012-07-01,2013-06-30,,,,,
3,HANX,Han,2013-07-01,2014-06-30,,,,,
4,HANX,Han,2014-07-01,2015-06-30,,,,,
5,HANX,Han,2015-07-01,2016-06-30,,,,,
6,HANX,Han,2016-07-01,2017-05-31,,,,,
7,HANX,Han,2017-06-01,2017-07-31,,,,,
8,HANX,Han,2017-08-01,2017-09-30,,,,,
9,HANX,Han,2017-10-01,2017-11-30,,,,,
10,HANX,Han,2017-12-01,2018-01-31,,,,,
11,HANX,Han,2018-02-01,2018-03-31,,,,,
12,HANX,Han,2018-04-01,2018-05-31,,,,,
13,HANX,Han,2018-06-01,2018-07-31,,,,,
14,HANX,Han,2018-08-01,2018-09-30,,,,,
15,HANX,Han,2018-10-01,2018-11-30,,,,,
16,HANX,Han,2018-12-01,2019-01-31,,,,,
17,HANX,Han,2019-02-01,2019-03-31,,,,,
18,HANX,Han,2019-04-01,2019-05-31,,,,,
19,HANX,Han,2019-06-01,2019-07-31,,,,,
20,HANX,Han,2019-08-01,2019-09-30,,,,,
21,HANX,Han,2019-10-01,2019-11-30,,,,,
22,HANX,Han,2019-12-01,2020-01-31,,,,,
23,HANX,Han,2020-02-01,2020-03-31,,,,,
24,HANX,Han,2020-04-01,2020-05-31,,,,,
25,HANX,Han,2020-06-01,2020-07-31,,,,,
26,HANX,Han,2020-08-01,2020-09-30,,,,,
27,HANX,Han,2020-10-01,2020-11-30,,,,,
28,HANX,Han,2020-12-01,2021-01-31,,,,,
29,HANX,Han,2021-02-01,2021-03-31,,,,,
30,HANX,Han,2021-04-01,2021-05-31,,,,,
31,HANX,Han,2021-06-01,2021-07-31,,,,,
32,HANX,Han,2021-08-01,2021-09-30,,,,,
33,HANX,Han,2021-10-01,2021-11-30,,,,,
34,HANX,Han,2021-12-01,2022-01-31,,,,,
35,HANX,Han,2022-02-01,2022-03-31,,,,,
36,HANX,Han,2022-04-01,2022-05-31,,,,,
37,HANX,Han,2022-06-01,2022-07-31,,,,,
38,HANX,Han,2022-08-01,2022-09-30,,,,,
39,HANX,Han,2022-10-01,2022-11-30,,,,,
40,HANX,Han,2022-12-01,2023-01-31,,,,,
41,HANX,Han,2023-02-01,2023-03-31,,,,,
42,HANX,Han,2023-04-01,2023-05-31,,,,,
43,HANX,Han,2023-06-01,2023-07-31,,,,,
44,HANX,Han,2023-08-01,2023-09-30,,,,,
45,HANX,Han,2023-10-01,2023-11-30,,,,,
46,HANX,Han,2023-12-01,2024-01-31,,,,,
47,HANX,Han,2024-02-01,2024-03-15,,,,,
