index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,INDU,Indus,2008-06-30,2009-05-31,,,,,
1,INDU,Indus,2009-06-01,2009-11-30,,,,,
2,INDU,Indus,2009-12-01,2010-02-28,,,,,
3,INDU,Indus,2010-03-01,2010-06-30,,,,,
4,INDU,Indus,2010-07-01,2010-07-31,,,,,
5,INDU,Indus,2010-08-01,2010-08-31,,,,,
6,INDU,Indus,2010-09-01,2010-09-30,,,,,
7,INDU,Indus,2010-10-01,2010-11-30,,,,,
8,INDU,Indus,2010-12-01,2011-02-28,,,,,
9,INDU,Indus,2011-03-01,2011-06-30,,,,,
10,INDU,Indus,2011-07-01,2011-09-30,,,,,
11,INDU,Indus,2011-10-01,2012-01-31,,,,,
12,INDU,Indus,2012-02-01,2012-05-31,,,,,
13,INDU,Indus,2012-06-01,2012-07-31,,,,,
14,INDU,Indus,2012-08-01,2012-10-31,,,,,
15,INDU,Indus,2012-11-01,2012-12-31,,,,,
16,INDU,Indus,2013-01-01,2013-02-28,,,,,
17,INDU,Indus,2013-03-01,2013-04-30,,,,,
18,INDU,Indus,2013-05-01,2013-06-30,,,,,
19,INDU,Indus,2013-07-01,2013-07-31,,,,,
20,INDU,Indus,2013-08-01,2013-08-31,,,,,
21,INDU,Indus,2013-09-01,2013-10-31,,,,,
22,INDU,Indus,2013-11-01,2013-12-31,,,,,
23,INDU,Indus,2014-01-01,2014-02-28,,,,,
24,INDU,Indus,2014-03-01,2014-04-30,,,,,
25,INDU,Indus,2014-05-01,2014-07-31,,,,,
26,INDU,Indus,2014-08-01,2014-08-31,,,,,
27,INDU,Indus,2014-09-01,2014-10-31,,,,,
28,INDU,Indus,2014-11-01,2015-02-28,,,,,
29,INDU,Indus,2015-03-01,2015-05-31,,,,,
30,INDU,Indus,2015-06-01,2015-07-31,,,,,
31,INDU,Indus,2015-08-01,2015-09-30,,,,,
32,INDU,Indus,2015-10-01,2015-12-31,,,,,
33,INDU,Indus,2016-01-01,2016-03-31,,,,,
34,INDU,Indus,2016-04-01,2016-06-30,,,,,
35,INDU,Indus,2016-07-01,2016-08-31,,,,,
36,INDU,Indus,2016-09-01,2016-09-30,,,,,
37,INDU,Indus,2016-10-01,2016-11-30,,,,,
38,INDU,Indus,2016-12-01,2017-01-31,,,,,
39,INDU,Indus,2017-02-01,2017-03-31,,,,,
40,INDU,Indus,2017-04-01,2017-06-30,,,,,
41,INDU,Indus,2017-07-01,2017-08-31,,,,,
42,INDU,Indus,2017-09-01,2017-11-30,,,,,
43,INDU,Indus,2017-12-01,2018-02-28,,,,,
44,INDU,Indus,2018-03-01,2018-04-30,,,,,
45,INDU,Indus,2018-05-01,2018-06-30,,,,,
46,INDU,Indus,2018-07-01,2018-08-31,,,,,
47,INDU,Indus,2018-09-01,2018-10-31,,,,,
48,INDU,Indus,2018-11-01,2019-01-31,,,,,
49,INDU,Indus,2019-02-01,2019-04-30,,,,,
50,INDU,Indus,2019-05-01,2019-07-31,,,,,
51,INDU,Indus,2019-08-01,2019-11-30,,,,,
52,INDU,Indus,2019-12-01,2020-04-30,,,,,
53,INDU,Indus,2020-05-01,2020-08-31,,,,,
54,INDU,Indus,2020-09-01,2020-12-31,,,,,
55,INDU,Indus,2021-01-01,2021-05-31,,,,,
56,INDU,Indus,2021-06-01,2021-07-31,,,,,
57,INDU,Indus,2021-08-01,2021-08-25,,,,,
58,INDU,Indus,2021-08-26,2021-10-31,,,,,
59,INDU,Indus,2021-11-01,2022-03-31,,,,,
60,INDU,Indus,2022-04-01,2022-07-31,,,,,
61,INDU,Indus,2022-08-01,2022-11-30,,,,,
62,INDU,Indus,2022-12-01,2023-03-31,,,,,
63,INDU,Indus,2023-04-01,2023-06-30,,,,,
64,INDU,Indus,2023-07-01,2023-07-31,,,,,
65,INDU,Indus,2023-08-01,2023-09-30,,,,,
66,INDU,Indus,2023-10-01,2023-11-30,,,,,
67,INDU,Indus,2023-12-01,2024-03-15,,,,,
