index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,JCBS,Jacobs,06/30/2008,06/30/2009,,,,,
1,JCBS,Jacobs,07/01/2009,06/30/2010,,,,,
2,JCBS,Jacobs,07/01/2010,06/30/2011,,,,,
3,JCBS,Jacobs,07/01/2011,06/30/2012,,,,,
4,JCBS,Jacobs,07/01/2012,06/30/2013,,,,,
5,JCBS,Jacobs,07/01/2013,06/30/2014,,,,,
6,JCBS,Jacobs,07/01/2014,06/30/2015,,,,,
7,JCBS,Jacobs,07/01/2015,06/30/2016,,,,,
8,JCBS,Jacobs,07/01/2016,06/30/2017,,,,,
9,JCBS,Jacobs,07/01/2017,06/30/2018,,,,,
10,JCBS,Jacobs,07/01/2018,06/30/2019,,,,,
11,JCBS,Jacobs,07/01/2019,06/30/2020,,,,,
12,JCBS,Jacobs,07/01/2020,06/30/2021,,,,,
13,JCBS,Jacobs,07/01/2021,06/30/2022,,,,,
14,JCBS,Jacobs,2022-07-01 00:00:00,2023-06-30 00:00:00,,,,,
15,JCBS,Jacobs,2023-07-01 00:00:00,2024-03-15 00:00:00,,,,,
