index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,JORD,Jordan,06/30/2008,06/30/2009,,,,,
1,JORD,Jordan,07/01/2009,06/30/2010,,,,,
2,JORD,Jordan,07/01/2010,12/31/2010,,,,,
3,JORD,Jordan,01/01/2011,06/30/2011,,,,,
4,JORD,Jordan,07/01/2011,09/30/2011,,,,,
5,JORD,Jordan,10/01/2011,12/31/2011,,,,,
6,JORD,Jordan,01/01/2012,03/31/2012,,,,,
7,JORD,Jordan,04/01/2012,06/30/2012,,,,,
8,JORD,Jordan,07/01/2012,09/30/2012,,,,,
9,JORD,Jordan,10/01/2012,12/31/2012,,,,,
10,JORD,Jordan,01/01/2013,03/31/2013,,,,,
11,JORD,Jordan,04/01/2013,06/30/2013,,,,,
12,JORD,Jordan,07/01/2013,09/30/2013,,,,,
13,JORD,Jordan,10/01/2013,12/31/2013,,,,,
14,JORD,Jordan,01/01/2014,03/31/2014,,,,,
15,JORD,Jordan,04/01/2014,06/30/2014,,,,,
16,JORD,Jordan,07/01/2014,09/30/2014,,,,,
17,JORD,Jordan,10/01/2014,12/31/2014,,,,,
18,JORD,Jordan,01/01/2015,03/31/2015,,,,,
19,JORD,Jordan,04/01/2015,06/30/2015,,,,,
20,JORD,Jordan,07/01/2015,09/30/2015,,,,,
21,JORD,Jordan,10/01/2015,12/31/2015,,,,,
22,JORD,Jordan,01/01/2016,03/31/2016,,,,,
23,JORD,Jordan,04/01/2016,06/30/2016,,,,,
24,JORD,Jordan,07/01/2016,09/30/2016,,,,,
25,JORD,Jordan,10/01/2016,12/31/2016,,,,,
26,JORD,Jordan,01/01/2017,03/31/2017,,,,,
27,JORD,Jordan,04/01/2017,06/30/2017,,,,,
28,JORD,Jordan,07/01/2017,09/30/2017,,,,,
29,JORD,Jordan,10/01/2017,12/31/2017,,,,,
30,JORD,Jordan,01/01/2018,03/31/2018,,,,,
31,JORD,Jordan,04/01/2018,06/30/2018,,,,,
32,JORD,Jordan,07/01/2018,09/30/2018,,,,,
33,JORD,Jordan,10/01/2018,12/31/2018,,,,,
34,JORD,Jordan,01/01/2019,03/31/2019,,,,,
35,JORD,Jordan,04/01/2019,06/30/2019,,,,,
36,JORD,Jordan,07/01/2019,12/31/2019,,,,,
37,JORD,Jordan,01/01/2020,06/30/2020,,,,,
38,JORD,Jordan,07/01/2020,12/31/2020,,,,,
39,JORD,Jordan,01/01/2021,06/30/2021,,,,,
40,JORD,Jordan,07/01/2021,12/31/2021,,,,,
41,JORD,Jordan,01/01/2022,06/30/2022,,,,,
42,JORD,Jordan,07/01/2022,12/31/2022,,,,,
43,JORD,Jordan,01/01/2023,06/30/2023,,,,,
44,JORD,Jordan,07/01/2023,09/30/2023,,,,,
45,JORD,Jordan,10/01/2023,12/31/2023,,,,,
46,JORD,Jordan,01/01/2024,03/15/2024,,,,,
