index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LKCH,Lake Chad ,06/30/2008,12/31/2009,,,,,
1,LKCH,Lake Chad ,01/01/2010,06/30/2011,,,,,
2,LKCH,Lake Chad ,07/01/2011,12/31/2012,,,,,
3,LKCH,Lake Chad ,01/01/2013,06/30/2014,,,,,
12,LKCH,Lake Chad ,07/01/2014,12/31/2015,,,,,
13,LKCH,Lake Chad ,01/01/2016,06/30/2017,,,,,
14,LKCH,Lake Chad ,07/01/2017,12/31/2018,,,,,
15,LKCH,Lake Chad ,01/01/2019,06/30/2020,,,,,
16,LKCH,Lake Chad ,07/01/2020,12/31/2021,,,,,
17,LKCH,Lake Chad ,01/01/2022,06/30/2023,,,,,
18,LKCH,Lake Chad ,07/01/2017,12/31/2017,,,,,
19,LKCH,Lake Chad ,01/01/2018,06/30/2018,,,,,
20,LKCH,Lake Chad ,07/01/2018,12/31/2018,,,,,
21,LKCH,Lake Chad ,01/01/2019,06/30/2019,,,,,
22,LKCH,Lake Chad ,07/01/2019,12/31/2019,,,,,
23,LKCH,Lake Chad ,01/01/2020,06/30/2020,,,,,
24,LKCH,Lake Chad ,07/01/2020,12/31/2020,,,,,
25,LKCH,Lake Chad ,01/01/2021,06/30/2021,,,,,
26,LKCH,Lake Chad ,07/01/2021,12/31/2021,,,,,
27,LKCH,Lake Chad ,01/01/2022,06/30/2022,,,,,
28,LKCH,Lake Chad ,07/01/2022,12/31/2022,,,,,
29,LKCH,Lake Chad ,01/01/2023,07/01/2023,,,,,
30,LKCH,Lake Chad ,2023-07-02 00:00:00,2023-12-31 00:00:00,,,,,
31,LKCH,Lake Chad ,2024-01-01 00:00:00,2024-03-15 00:00:00,,,,,
