index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LKPP,Lake Prespa,06/30/2008,09/30/2008,,,,,
1,LKPP,Lake Prespa,10/01/2008,12/31/2008,,,,,
2,LKPP,Lake Prespa,01/01/2009,03/31/2009,,,,,
3,LKPP,Lake Prespa,04/01/2009,06/30/2009,,,,,
4,LKPP,Lake Prespa,07/01/2009,09/30/2009,,,,,
5,LKPP,Lake Prespa,10/01/2009,12/31/2009,,,,,
6,LKPP,Lake Prespa,01/01/2010,03/31/2010,,,,,
7,LKPP,Lake Prespa,04/01/2010,06/30/2010,,,,,
8,LKPP,Lake Prespa,07/01/2010,09/30/2010,,,,,
9,LKPP,Lake Prespa,10/01/2010,12/31/2010,,,,,
10,LKPP,Lake Prespa,01/01/2011,03/31/2011,,,,,
11,LKPP,Lake Prespa,04/01/2011,06/30/2011,,,,,
12,LKPP,Lake Prespa,07/01/2011,09/30/2011,,,,,
13,LKPP,Lake Prespa,10/01/2011,12/31/2011,,,,,
14,LKPP,Lake Prespa,01/01/2012,03/31/2012,,,,,
15,LKPP,Lake Prespa,04/01/2012,06/30/2012,,,,,
16,LKPP,Lake Prespa,07/01/2012,07/31/2012,,,,,
17,LKPP,Lake Prespa,08/01/2012,08/31/2012,,,,,
18,LKPP,Lake Prespa,09/01/2012,09/30/2012,,,,,
19,LKPP,Lake Prespa,10/01/2012,10/31/2012,,,,,
20,LKPP,Lake Prespa,11/01/2012,11/30/2012,,,,,
21,LKPP,Lake Prespa,12/01/2012,12/31/2012,,,,,
22,LKPP,Lake Prespa,01/01/2013,01/31/2013,,,,,
23,LKPP,Lake Prespa,02/01/2013,02/28/2013,,,,,
24,LKPP,Lake Prespa,03/01/2013,03/31/2013,,,,,
25,LKPP,Lake Prespa,04/01/2013,04/30/2013,,,,,
26,LKPP,Lake Prespa,05/01/2013,05/31/2013,,,,,
27,LKPP,Lake Prespa,06/01/2013,06/30/2013,,,,,
28,LKPP,Lake Prespa,07/01/2013,07/31/2013,,,,,
29,LKPP,Lake Prespa,08/01/2013,08/31/2013,,,,,
30,LKPP,Lake Prespa,09/01/2013,09/30/2013,,,,,
31,LKPP,Lake Prespa,10/01/2013,10/31/2013,,,,,
32,LKPP,Lake Prespa,11/01/2013,11/30/2013,,,,,
33,LKPP,Lake Prespa,12/01/2013,12/31/2013,,,,,
34,LKPP,Lake Prespa,01/01/2014,01/31/2014,,,,,
35,LKPP,Lake Prespa,02/01/2014,02/28/2014,,,,,
36,LKPP,Lake Prespa,03/01/2014,03/31/2014,,,,,
37,LKPP,Lake Prespa,04/01/2014,04/30/2014,,,,,
38,LKPP,Lake Prespa,05/01/2014,05/31/2014,,,,,
39,LKPP,Lake Prespa,06/01/2014,06/30/2014,,,,,
40,LKPP,Lake Prespa,07/01/2014,07/31/2014,,,,,
41,LKPP,Lake Prespa,08/01/2014,08/31/2014,,,,,
42,LKPP,Lake Prespa,09/01/2014,09/30/2014,,,,,
43,LKPP,Lake Prespa,10/01/2014,10/31/2014,,,,,
44,LKPP,Lake Prespa,11/01/2014,11/30/2014,,,,,
45,LKPP,Lake Prespa,12/01/2014,12/31/2014,,,,,
46,LKPP,Lake Prespa,01/01/2015,01/31/2015,,,,,
47,LKPP,Lake Prespa,02/01/2015,02/28/2015,,,,,
48,LKPP,Lake Prespa,03/01/2015,03/31/2015,,,,,
49,LKPP,Lake Prespa,04/01/2015,04/30/2015,,,,,
50,LKPP,Lake Prespa,05/01/2015,05/31/2015,,,,,
51,LKPP,Lake Prespa,06/01/2015,06/30/2015,,,,,
52,LKPP,Lake Prespa,07/01/2015,07/31/2015,,,,,
53,LKPP,Lake Prespa,08/01/2015,08/31/2015,,,,,
54,LKPP,Lake Prespa,09/01/2015,09/30/2015,,,,,
55,LKPP,Lake Prespa,10/01/2015,10/31/2015,,,,,
56,LKPP,Lake Prespa,11/01/2015,11/30/2015,,,,,
57,LKPP,Lake Prespa,12/01/2015,12/31/2015,,,,,
58,LKPP,Lake Prespa,01/01/2016,01/31/2016,,,,,
59,LKPP,Lake Prespa,02/01/2016,02/29/2016,,,,,
60,LKPP,Lake Prespa,03/01/2016,03/31/2016,,,,,
61,LKPP,Lake Prespa,04/01/2016,04/30/2016,,,,,
62,LKPP,Lake Prespa,05/01/2016,05/31/2016,,,,,
63,LKPP,Lake Prespa,06/01/2016,06/30/2016,,,,,
64,LKPP,Lake Prespa,07/01/2016,07/31/2016,,,,,
65,LKPP,Lake Prespa,08/01/2016,08/31/2016,,,,,
66,LKPP,Lake Prespa,09/01/2016,09/30/2016,,,,,
67,LKPP,Lake Prespa,10/01/2016,10/31/2016,,,,,
68,LKPP,Lake Prespa,11/01/2016,11/30/2016,,,,,
69,LKPP,Lake Prespa,12/01/2016,12/31/2016,,,,,
70,LKPP,Lake Prespa,01/01/2017,01/31/2017,,,,,
71,LKPP,Lake Prespa,02/01/2017,02/28/2017,,,,,
72,LKPP,Lake Prespa,03/01/2017,03/31/2017,,,,,
73,LKPP,Lake Prespa,04/01/2017,04/30/2017,,,,,
74,LKPP,Lake Prespa,05/01/2017,05/31/2017,,,,,
75,LKPP,Lake Prespa,06/01/2017,06/30/2017,,,,,
76,LKPP,Lake Prespa,07/01/2017,07/31/2017,,,,,
77,LKPP,Lake Prespa,08/01/2017,08/31/2017,,,,,
78,LKPP,Lake Prespa,09/01/2017,09/30/2017,,,,,
79,LKPP,Lake Prespa,10/01/2017,10/31/2017,,,,,
80,LKPP,Lake Prespa,11/01/2017,11/30/2017,,,,,
