index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LKUN,Lake Ubsa-Nur,06/30/2008,12/31/2009,,,,,
1,LKUN,Lake Ubsa-Nur,01/01/2010,06/30/2010,,,,,
2,LKUN,Lake Ubsa-Nur,07/01/2010,12/31/2010,,,,,
3,LKUN,Lake Ubsa-Nur,01/01/2011,06/30/2011,,,,,
4,LKUN,Lake Ubsa-Nur,07/01/2011,12/31/2011,,,,,
5,LKUN,Lake Ubsa-Nur,01/01/2012,06/30/2012,,,,,
6,LKUN,Lake Ubsa-Nur,07/01/2012,12/31/2012,,,,,
7,LKUN,Lake Ubsa-Nur,01/01/2013,06/30/2013,,,,,
8,LKUN,Lake Ubsa-Nur,07/01/2013,12/31/2013,,,,,
9,LKUN,Lake Ubsa-Nur,01/01/2014,06/30/2014,,,,,
10,LKUN,Lake Ubsa-Nur,07/01/2014,12/31/2014,,,,,
11,LKUN,Lake Ubsa-Nur,01/01/2015,06/30/2015,,,,,
12,LKUN,Lake Ubsa-Nur,07/01/2015,12/31/2015,,,,,
13,LKUN,Lake Ubsa-Nur,01/01/2016,06/30/2016,,,,,
14,LKUN,Lake Ubsa-Nur,07/01/2016,12/31/2016,,,,,
15,LKUN,Lake Ubsa-Nur,01/01/2017,06/30/2017,,,,,
16,LKUN,Lake Ubsa-Nur,07/01/2017,08/15/2017,,,,,
17,LKUN,Lake Ubsa-Nur,08/16/2017,08/31/2017,,,,,
18,LKUN,Lake Ubsa-Nur,09/01/2017,09/15/2017,,,,,
19,LKUN,Lake Ubsa-Nur,09/16/2017,09/30/2017,,,,,
20,LKUN,Lake Ubsa-Nur,10/01/2017,10/15/2017,,,,,
21,LKUN,Lake Ubsa-Nur,10/16/2017,10/31/2017,,,,,
22,LKUN,Lake Ubsa-Nur,11/01/2017,11/15/2017,,,,,
23,LKUN,Lake Ubsa-Nur,11/16/2017,11/30/2017,,,,,
24,LKUN,Lake Ubsa-Nur,12/01/2017,12/15/2017,,,,,
25,LKUN,Lake Ubsa-Nur,12/16/2017,12/31/2017,,,,,
26,LKUN,Lake Ubsa-Nur,01/01/2018,01/15/2018,,,,,
27,LKUN,Lake Ubsa-Nur,01/16/2018,01/31/2018,,,,,
28,LKUN,Lake Ubsa-Nur,02/01/2018,02/15/2018,,,,,
29,LKUN,Lake Ubsa-Nur,02/16/2018,02/27/2018,,,,,
30,LKUN,Lake Ubsa-Nur,02/28/2018,03/15/2018,,,,,
31,LKUN,Lake Ubsa-Nur,03/16/2018,03/31/2018,,,,,
32,LKUN,Lake Ubsa-Nur,04/01/2018,04/15/2018,,,,,
33,LKUN,Lake Ubsa-Nur,04/16/2018,04/30/2018,,,,,
34,LKUN,Lake Ubsa-Nur,05/01/2018,05/15/2018,,,,,
35,LKUN,Lake Ubsa-Nur,05/16/2018,05/31/2018,,,,,
36,LKUN,Lake Ubsa-Nur,06/01/2018,06/15/2018,,,,,
37,LKUN,Lake Ubsa-Nur,06/16/2018,06/30/2018,,,,,
38,LKUN,Lake Ubsa-Nur,07/01/2018,07/15/2018,,,,,
39,LKUN,Lake Ubsa-Nur,07/16/2018,07/30/2018,,,,,
40,LKUN,Lake Ubsa-Nur,07/31/2018,08/14/2018,,,,,
41,LKUN,Lake Ubsa-Nur,08/15/2018,08/29/2018,,,,,
42,LKUN,Lake Ubsa-Nur,08/30/2018,09/13/2018,,,,,
43,LKUN,Lake Ubsa-Nur,09/14/2018,09/28/2018,,,,,
44,LKUN,Lake Ubsa-Nur,09/29/2018,10/13/2018,,,,,
45,LKUN,Lake Ubsa-Nur,10/14/2018,10/28/2018,,,,,
46,LKUN,Lake Ubsa-Nur,10/29/2018,11/12/2018,,,,,
47,LKUN,Lake Ubsa-Nur,11/13/2018,11/27/2018,,,,,
48,LKUN,Lake Ubsa-Nur,11/28/2018,12/12/2018,,,,,
49,LKUN,Lake Ubsa-Nur,12/13/2018,12/31/2018,,,,,
50,LKUN,Lake Ubsa-Nur,01/01/2019,06/30/2019,,,,,
51,LKUN,Lake Ubsa-Nur,07/01/2019,10/31/2019,,,,,
52,LKUN,Lake Ubsa-Nur,11/01/2019,04/30/2020,,,,,
53,LKUN,Lake Ubsa-Nur,05/01/2020,09/30/2020,,,,,
54,LKUN,Lake Ubsa-Nur,10/01/2020,11/30/2020,,,,,
55,LKUN,Lake Ubsa-Nur,12/01/2020,12/31/2020,,,,,
56,LKUN,Lake Ubsa-Nur,01/01/2021,07/31/2021,,,,,
57,LKUN,Lake Ubsa-Nur,08/01/2021,01/31/2022,,,,,
58,LKUN,Lake Ubsa-Nur,02/01/2022,06/30/2022,,,,,
59,LKUN,Lake Ubsa-Nur,07/01/2022,11/30/2022,,,,,
60,LKUN,Lake Ubsa-Nur,12/01/2022,04/30/2023,,,,,
61,LKUN,Lake Ubsa-Nur,05/01/2023,09/30/2023,,,,,
62,LKUN,Lake Ubsa-Nur,10/01/2023,02/29/2024,,,,,
63,LKUN,Lake Ubsa-Nur,03/01/2024,03/15/2024,,,,,
