index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LPTA,La Plata,2008-06-30,2009-06-30,,,,,
1,LPTA,La Plata,2009-07-01,2009-05-31,,,,,
2,LPTA,La Plata,2009-06-01,2010-03-31,,,,,
3,LPTA,La Plata,2010-04-01,2010-09-30,,,,,
4,LPTA,La Plata,2010-10-01,2011-06-30,,,,,
5,LPTA,La Plata,2011-07-01,2011-12-31,,,,,
6,LPTA,La Plata,2012-01-01,2012-07-31,,,,,
7,LPTA,La Plata,2012-08-01,2012-12-31,,,,,
8,LPTA,La Plata,2013-01-01,2013-04-30,,,,,
9,LPTA,La Plata,2013-05-01,2013-07-31,,,,,
10,LPTA,La Plata,2013-08-01,2013-11-30,,,,,
11,LPTA,La Plata,2013-12-01,2014-04-30,,,,,
12,LPTA,La Plata,2014-05-01,2014-06-30,,,,,
13,LPTA,La Plata,2014-07-01,2014-10-31,,,,,
14,LPTA,La Plata,2014-11-01,2015-04-30,,,,,
15,LPTA,La Plata,2015-05-01,2015-09-30,,,,,
16,LPTA,La Plata,2015-10-01,2015-12-31,,,,,
17,LPTA,La Plata,2016-01-01,2016-03-31,,,,,
18,LPTA,La Plata,2016-04-01,2016-06-30,,,,,
19,LPTA,La Plata,2016-07-01,2016-09-30,,,,,
20,LPTA,La Plata,2016-10-01,2016-12-31,,,,,
21,LPTA,La Plata,2017-01-01,2017-03-31,,,,,
22,LPTA,La Plata,2017-04-01,2017-06-30,,,,,
23,LPTA,La Plata,2017-07-01,2017-09-30,,,,,
24,LPTA,La Plata,2017-10-01,2018-01-31,,,,,
25,LPTA,La Plata,2018-02-01,2018-04-30,,,,,
26,LPTA,La Plata,2018-05-01,2018-05-31,,,,,
27,LPTA,La Plata,2018-06-01,2018-06-30,,,,,
28,LPTA,La Plata,2018-07-01,2018-07-31,,,,,
29,LPTA,La Plata,2018-08-01,2018-09-30,,,,,
30,LPTA,La Plata,2018-10-01,2018-11-30,,,,,
31,LPTA,La Plata,2018-12-01,2019-01-31,,,,,
32,LPTA,La Plata,2019-02-01,2019-03-31,,,,,
33,LPTA,La Plata,2019-04-01,2019-05-31,,,,,
34,LPTA,La Plata,2019-06-01,2019-07-31,,,,,
35,LPTA,La Plata,2019-08-01,2019-09-30,,,,,
36,LPTA,La Plata,2019-10-01,2019-11-30,,,,,
37,LPTA,La Plata,2019-12-01,2020-02-29,,,,,
38,LPTA,La Plata,2020-03-01,2020-06-30,,,,,
39,LPTA,La Plata,2020-07-01,2020-09-30,,,,,
40,LPTA,La Plata,2020-10-01,2020-12-31,,,,,
41,LPTA,La Plata,2021-01-01,2021-03-31,,,,,
42,LPTA,La Plata,2021-04-01,2021-06-30,,,,,
43,LPTA,La Plata,2021-07-01,2021-08-31,,,,,
44,LPTA,La Plata,2021-09-01,2021-10-31,,,,,
45,LPTA,La Plata,2021-11-01,2022-01-31,,,,,
46,LPTA,La Plata,2022-02-01,2022-03-31,,,,,
47,LPTA,La Plata,2022-04-01,2022-05-31,,,,,
48,LPTA,La Plata,2022-06-01,2022-07-31,,,,,
49,LPTA,La Plata,2022-08-01,2022-09-30,,,,,
50,LPTA,La Plata,2022-10-01,2022-10-31,,,,,
51,LPTA,La Plata,2022-11-01,2022-12-31,,,,,
52,LPTA,La Plata,2023-01-01,2023-02-28,,,,,
53,LPTA,La Plata,2023-03-01,2023-04-30,,,,,
54,LPTA,La Plata,2023-05-01,2023-05-31,,,,,
55,LPTA,La Plata,2023-06-01,2023-06-30,,,,,
56,LPTA,La Plata,2023-07-01,2023-07-31,,,,,
57,LPTA,La Plata,2023-08-01,2023-08-31,,,,,
58,LPTA,La Plata,2023-09-01,2023-09-30,,,,,
59,LPTA,La Plata,2023-10-01,2023-10-31,,,,,
60,LPTA,La Plata,2023-11-01,2023-11-30,,,,,
61,LPTA,La Plata,2023-12-01,2023-12-31,,,,,
62,LPTA,La Plata,2024-01-01,2024-01-31,,,,,
63,LPTA,La Plata,2024-02-01,2024-03-15,,,,,
