index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,MAXX,Ma,06/30/2008,09/30/2008,,,,,
1,MAXX,Ma,10/01/2008,12/31/2008,,,,,
2,MAXX,Ma,01/01/2009,03/31/2009,,,,,
3,MAXX,Ma,04/01/2009,06/30/2009,,,,,
4,MAXX,Ma,07/01/2009,09/30/2009,,,,,
5,MAXX,Ma,10/01/2009,12/31/2009,,,,,
6,MAXX,Ma,01/01/2010,03/31/2010,,,,,
7,MAXX,Ma,04/01/2010,06/30/2010,,,,,
8,MAXX,Ma,07/01/2010,09/30/2010,,,,,
9,MAXX,Ma,10/01/2010,12/31/2010,,,,,
10,MAXX,Ma,01/01/2011,03/31/2011,,,,,
11,MAXX,Ma,04/01/2011,06/30/2011,,,,,
12,MAXX,Ma,07/01/2011,09/30/2011,,,,,
13,MAXX,Ma,10/01/2011,12/31/2011,,,,,
14,MAXX,Ma,01/01/2012,03/31/2012,,,,,
15,MAXX,Ma,04/01/2012,06/30/2012,,,,,
16,MAXX,Ma,07/01/2012,09/30/2012,,,,,
17,MAXX,Ma,10/01/2012,12/31/2012,,,,,
18,MAXX,Ma,01/01/2013,03/31/2013,,,,,
19,MAXX,Ma,04/01/2013,06/30/2013,,,,,
20,MAXX,Ma,07/01/2013,09/30/2013,,,,,
21,MAXX,Ma,10/01/2013,12/31/2013,,,,,
22,MAXX,Ma,01/01/2014,03/31/2014,,,,,
23,MAXX,Ma,04/01/2014,06/30/2014,,,,,
24,MAXX,Ma,07/01/2014,09/30/2014,,,,,
25,MAXX,Ma,10/01/2014,12/31/2014,,,,,
26,MAXX,Ma,01/01/2015,03/31/2015,,,,,
27,MAXX,Ma,04/01/2015,06/30/2015,,,,,
28,MAXX,Ma,07/01/2015,09/30/2015,,,,,
29,MAXX,Ma,10/01/2015,12/31/2015,,,,,
30,MAXX,Ma,01/01/2016,03/31/2016,,,,,
31,MAXX,Ma,04/01/2016,06/30/2016,,,,,
32,MAXX,Ma,07/01/2016,09/30/2016,,,,,
33,MAXX,Ma,10/01/2016,12/31/2016,,,,,
34,MAXX,Ma,01/01/2017,03/31/2017,,,,,
35,MAXX,Ma,04/01/2017,06/30/2017,,,,,
36,MAXX,Ma,07/01/2017,09/30/2017,,,,,
37,MAXX,Ma,10/01/2017,12/31/2017,,,,,
38,MAXX,Ma,01/01/2018,03/31/2018,,,,,
39,MAXX,Ma,04/01/2018,06/30/2018,,,,,
40,MAXX,Ma,07/01/2018,09/30/2018,,,,,
41,MAXX,Ma,10/01/2018,12/31/2018,,,,,
42,MAXX,Ma,01/01/2019,03/31/2019,,,,,
43,MAXX,Ma,04/01/2019,06/30/2019,,,,,
44,MAXX,Ma,07/01/2019,09/30/2019,,,,,
45,MAXX,Ma,10/01/2019,12/31/2019,,,,,
46,MAXX,Ma,01/01/2020,03/31/2020,,,,,
47,MAXX,Ma,04/01/2020,06/30/2020,,,,,
48,MAXX,Ma,07/01/2020,09/30/2020,,,,,
49,MAXX,Ma,10/01/2020,12/31/2020,,,,,
50,MAXX,Ma,01/01/2021,03/31/2021,,,,,
51,MAXX,Ma,04/01/2021,06/30/2021,,,,,
52,MAXX,Ma,07/01/2021,09/30/2021,,,,,
53,MAXX,Ma,10/01/2021,12/31/2021,,,,,
54,MAXX,Ma,01/01/2022,03/31/2022,,,,,
55,MAXX,Ma,04/01/2022,06/30/2022,,,,,
56,MAXX,Ma,07/01/2022,09/30/2022,,,,,
57,MAXX,Ma,10/01/2022,12/31/2022,,,,,
58,MAXX,Ma,01/01/2023,03/31/2023,,,,,
59,MAXX,Ma,2023-04-01 00:00:00,2023-06-30 00:00:00,,,,,
60,MAXX,Ma,2023-07-01 00:00:00,2023-09-30 00:00:00,,,,,
61,MAXX,Ma,2023-10-01 00:00:00,2023-12-31 00:00:00,,,,,
62,MAXX,Ma,2024-01-01 00:00:00,2024-03-15 00:00:00,,,,,
