index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,NELS,Nelson-Saskatchewan,2008-01-01,2008-01-31,,,,,
1,NELS,Nelson-Saskatchewan,2008-02-01,2008-02-29,,,,,
2,NELS,Nelson-Saskatchewan,2008-03-01,2008-03-31,,,,,
3,NELS,Nelson-Saskatchewan,2008-04-01,2008-04-30,,,,,
4,NELS,Nelson-Saskatchewan,2008-05-01,2008-05-31,,,,,
5,NELS,Nelson-Saskatchewan,2008-06-01,2008-06-30,,,,,
6,NELS,Nelson-Saskatchewan,2008-07-01,2008-07-31,,,,,
7,NELS,Nelson-Saskatchewan,2008-08-01,2008-08-31,,,,,
8,NELS,Nelson-Saskatchewan,2008-09-01,2008-09-30,,,,,
9,NELS,Nelson-Saskatchewan,2008-10-01,2008-10-31,,,,,
10,NELS,Nelson-Saskatchewan,2008-11-01,2008-11-30,,,,,
11,NELS,Nelson-Saskatchewan,2008-12-01,2008-12-31,,,,,
12,NELS,Nelson-Saskatchewan,2009-01-01,2009-01-31,,,,,
13,NELS,Nelson-Saskatchewan,2009-02-01,2009-02-28,,,,,
14,NELS,Nelson-Saskatchewan,2009-03-01,2009-03-31,,,,,
15,NELS,Nelson-Saskatchewan,2009-04-01,2009-04-30,,,,,
16,NELS,Nelson-Saskatchewan,2009-05-01,2009-05-31,,,,,
17,NELS,Nelson-Saskatchewan,2009-06-01,2009-06-30,,,,,
18,NELS,Nelson-Saskatchewan,2009-07-01,2009-07-31,,,,,
19,NELS,Nelson-Saskatchewan,2009-08-01,2009-08-31,,,,,
20,NELS,Nelson-Saskatchewan,2009-09-01,2009-09-30,,,,,
21,NELS,Nelson-Saskatchewan,2009-10-01,2009-10-31,,,,,
22,NELS,Nelson-Saskatchewan,2009-11-01,2009-11-30,,,,,
23,NELS,Nelson-Saskatchewan,2009-12-01,2009-12-31,,,,,
24,NELS,Nelson-Saskatchewan,2010-01-01,2010-01-31,,,,,
25,NELS,Nelson-Saskatchewan,2010-02-01,2010-02-28,,,,,
