index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,NGER,Niger,06/30/2008,12/31/2008,,,,,
1,NGER,Niger,01/01/2009,06/30/2009,,,,,
2,NGER,Niger,07/01/2009,12/31/2009,,,,,
3,NGER,Niger,01/01/2010,06/30/2010,,,,,
4,NGER,Niger,07/01/2010,12/31/2010,,,,,
5,NGER,Niger,01/01/2011,06/30/2011,,,,,
6,NGER,Niger,07/01/2011,12/31/2011,,,,,
7,NGER,Niger,01/01/2012,06/30/2012,,,,,
8,NGER,Niger,07/01/2012,12/31/2012,,,,,
9,NGER,Niger,01/01/2013,06/30/2013,,,,,
10,NGER,Niger,07/01/2013,12/31/2013,,,,,
11,NGER,Niger,01/01/2014,06/30/2014,,,,,
12,NGER,Niger,07/01/2014,12/31/2014,,,,,
13,NGER,Niger,01/01/2015,06/30/2015,,,,,
14,NGER,Niger,07/01/2015,12/31/2015,,,,,
15,NGER,Niger,01/01/2016,06/30/2016,,,,,
16,NGER,Niger,07/01/2016,12/31/2016,,,,,
17,NGER,Niger,01/01/2017,06/30/2017,,,,,
18,NGER,Niger,07/01/2017,07/31/2017,,,,,
19,NGER,Niger,08/01/2017,08/31/2017,,,,,
20,NGER,Niger,09/01/2017,09/30/2017,,,,,
21,NGER,Niger,10/01/2017,10/31/2017,,,,,
22,NGER,Niger,11/01/2017,11/30/2017,,,,,
23,NGER,Niger,12/01/2017,12/31/2017,,,,,
24,NGER,Niger,01/01/2018,01/31/2018,,,,,
25,NGER,Niger,02/01/2018,02/28/2018,,,,,
26,NGER,Niger,03/01/2018,03/31/2018,,,,,
27,NGER,Niger,04/01/2018,04/30/2018,,,,,
28,NGER,Niger,05/01/2018,05/31/2018,,,,,
29,NGER,Niger,06/01/2018,06/30/2018,,,,,
30,NGER,Niger,07/01/2018,07/31/2018,,,,,
31,NGER,Niger,08/01/2018,08/31/2018,,,,,
32,NGER,Niger,09/01/2018,09/30/2018,,,,,
33,NGER,Niger,10/01/2018,10/31/2018,,,,,
34,NGER,Niger,11/01/2018,11/30/2018,,,,,
35,NGER,Niger,12/01/2018,12/31/2018,,,,,
36,NGER,Niger,01/01/2019,01/31/2019,,,,,
37,NGER,Niger,02/01/2019,02/28/2019,,,,,
38,NGER,Niger,03/01/2019,03/31/2019,,,,,
39,NGER,Niger,04/01/2019,04/30/2019,,,,,
40,NGER,Niger,05/01/2019,05/31/2019,,,,,
41,NGER,Niger,06/01/2019,06/30/2019,,,,,
42,NGER,Niger,07/01/2019,07/31/2019,,,,,
43,NGER,Niger,08/01/2019,08/31/2019,,,,,
44,NGER,Niger,09/01/2019,09/30/2019,,,,,
45,NGER,Niger,10/01/2019,10/31/2019,,,,,
46,NGER,Niger,11/01/2019,11/30/2019,,,,,
47,NGER,Niger,12/01/2019,12/31/2019,,,,,
48,NGER,Niger,01/01/2020,01/31/2020,,,,,
49,NGER,Niger,02/01/2020,02/29/2020,,,,,
50,NGER,Niger,03/01/2020,03/31/2020,,,,,
51,NGER,Niger,04/01/2020,04/30/2020,,,,,
52,NGER,Niger,05/01/2020,05/31/2020,,,,,
53,NGER,Niger,06/01/2020,06/30/2020,,,,,
54,NGER,Niger,07/01/2020,07/31/2020,,,,,
55,NGER,Niger,08/01/2020,08/31/2020,,,,,
56,NGER,Niger,09/01/2020,09/30/2020,,,,,
57,NGER,Niger,10/01/2020,10/31/2020,,,,,
58,NGER,Niger,11/01/2020,11/30/2020,,,,,
59,NGER,Niger,12/01/2020,12/31/2020,,,,,
60,NGER,Niger,01/01/2021,01/31/2021,,,,,
61,NGER,Niger,02/01/2021,02/28/2021,,,,,
62,NGER,Niger,03/01/2021,03/31/2021,,,,,
63,NGER,Niger,04/01/2021,04/30/2021,,,,,
64,NGER,Niger,05/01/2021,05/31/2021,,,,,
65,NGER,Niger,06/01/2021,06/30/2021,,,,,
66,NGER,Niger,07/01/2021,07/31/2021,,,,,
67,NGER,Niger,08/01/2021,08/31/2021,,,,,
68,NGER,Niger,09/01/2021,09/30/2021,,,,,
69,NGER,Niger,10/01/2021,10/31/2021,,,,,
70,NGER,Niger,11/01/2021,11/30/2021,,,,,
71,NGER,Niger,12/01/2021,12/31/2021,,,,,
72,NGER,Niger,01/01/2022,01/31/2022,,,,,
73,NGER,Niger,02/01/2022,02/28/2022,,,,,
74,NGER,Niger,03/01/2022,03/31/2022,,,,,
75,NGER,Niger,04/01/2022,04/30/2022,,,,,
76,NGER,Niger,05/01/2022,05/31/2022,,,,,
77,NGER,Niger,06/01/2022,06/30/2022,,,,,
78,NGER,Niger,07/01/2022,07/31/2022,,,,,
79,NGER,Niger,08/01/2022,08/31/2022,,,,,
80,NGER,Niger,09/01/2022,09/30/2022,,,,,
81,NGER,Niger,10/01/2022,10/31/2022,,,,,
82,NGER,Niger,11/01/2022,11/30/2022,,,,,
83,NGER,Niger,12/01/2022,12/31/2022,,,,,
84,NGER,Niger,01/01/2023,01/31/2023,,,,,
