index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,NILE,Nile,2008-06-30,2008-12-31,,,,,
1,NILE,Nile,2009-01-01,2009-06-30,,,,,
2,NILE,Nile,2009-07-01,2009-12-31,,,,,
3,NILE,Nile,2010-01-01,2010-03-31,,,,,
4,NILE,Nile,2010-04-01,2010-06-30,,,,,
5,NILE,Nile,2010-07-01,2010-09-30,,,,,
6,NILE,Nile,2010-10-01,2010-12-31,,,,,
7,NILE,Nile,2011-01-01,2011-03-31,,,,,
8,NILE,Nile,2011-04-01,2011-06-30,,,,,
9,NILE,Nile,2011-07-01,2011-09-30,,,,,
10,NILE,Nile,2011-10-01,2011-12-31,,,,,
11,NILE,Nile,2012-01-01,2012-03-31,,,,,
12,NILE,Nile,2012-04-01,2012-04-30,,,,,
13,NILE,Nile,2012-05-01,2012-05-31,,,,,
14,NILE,Nile,2012-06-01,2012-06-30,,,,,
15,NILE,Nile,2012-07-01,2012-07-31,,,,,
16,NILE,Nile,2012-08-01,2012-08-31,,,,,
17,NILE,Nile,2012-09-01,2012-09-30,,,,,
18,NILE,Nile,2012-10-01,2012-10-31,,,,,
19,NILE,Nile,2012-11-01,2012-11-30,,,,,
20,NILE,Nile,2012-12-01,2012-12-31,,,,,
21,NILE,Nile,2013-01-01,2013-01-31,,,,,
22,NILE,Nile,2013-02-01,2013-02-28,,,,,
23,NILE,Nile,2013-03-01,2013-03-31,,,,,
24,NILE,Nile,2013-04-01,2013-04-30,,,,,
25,NILE,Nile,2013-05-01,2013-05-31,,,,,
26,NILE,Nile,2013-06-01,2013-06-30,,,,,
27,NILE,Nile,2013-07-01,2013-07-31,,,,,
28,NILE,Nile,2013-08-01,2013-08-31,,,,,
29,NILE,Nile,2013-09-01,2013-09-30,,,,,
30,NILE,Nile,2013-10-01,2013-10-31,,,,,
31,NILE,Nile,2013-11-01,2013-11-30,,,,,
32,NILE,Nile,2013-12-01,2013-12-31,,,,,
33,NILE,Nile,2014-01-01,2014-01-31,,,,,
34,NILE,Nile,2014-02-01,2014-02-28,,,,,
35,NILE,Nile,2014-03-01,2014-03-31,,,,,
36,NILE,Nile,2014-04-01,2014-04-30,,,,,
37,NILE,Nile,2014-05-01,2014-05-31,,,,,
38,NILE,Nile,2014-06-01,2014-06-30,,,,,
39,NILE,Nile,2014-07-01,2014-07-31,,,,,
40,NILE,Nile,2014-08-01,2014-08-31,,,,,
41,NILE,Nile,2014-09-01,2014-09-30,,,,,
42,NILE,Nile,2014-10-01,2014-10-31,,,,,
43,NILE,Nile,2014-11-01,2014-11-30,,,,,
44,NILE,Nile,2014-12-01,2014-12-31,,,,,
45,NILE,Nile,2015-01-01,2015-01-31,,,,,
46,NILE,Nile,2015-02-01,2015-02-28,,,,,
47,NILE,Nile,2015-03-01,2015-03-31,,,,,
48,NILE,Nile,2015-04-01,2015-04-30,,,,,
49,NILE,Nile,2015-05-01,2015-05-31,,,,,
50,NILE,Nile,2015-06-01,2015-06-30,,,,,
51,NILE,Nile,2015-07-01,2015-07-31,,,,,
52,NILE,Nile,2015-08-01,2015-08-31,,,,,
53,NILE,Nile,2015-09-01,2015-09-30,,,,,
54,NILE,Nile,2015-10-01,2015-10-31,,,,,
55,NILE,Nile,2015-11-01,2015-11-30,,,,,
56,NILE,Nile,2015-12-01,2015-12-31,,,,,
57,NILE,Nile,2016-01-01,2016-01-31,,,,,
58,NILE,Nile,2016-02-01,2016-02-29,,,,,
59,NILE,Nile,2016-03-01,2016-03-31,,,,,
60,NILE,Nile,2016-04-01,2016-04-30,,,,,
61,NILE,Nile,2016-05-01,2016-05-31,,,,,
62,NILE,Nile,2016-06-01,2016-06-30,,,,,
63,NILE,Nile,2016-07-01,2016-07-31,,,,,
64,NILE,Nile,2016-08-01,2016-08-31,,,,,
65,NILE,Nile,2016-09-01,2016-09-30,,,,,
66,NILE,Nile,2016-10-01,2016-10-31,,,,,
67,NILE,Nile,2016-11-01,2016-11-30,,,,,
68,NILE,Nile,2016-12-01,2016-12-31,,,,,
69,NILE,Nile,2017-01-01,2017-01-31,,,,,
70,NILE,Nile,2017-02-01,2017-02-28,,,,,
71,NILE,Nile,2017-03-01,2017-03-31,,,,,
72,NILE,Nile,2017-04-01,2017-04-30,,,,,
73,NILE,Nile,2017-05-01,2017-05-31,,,,,
74,NILE,Nile,2017-06-01,2017-06-30,,,,,
75,NILE,Nile,2017-07-01,2017-07-31,,,,,
76,NILE,Nile,2017-08-01,2017-08-31,,,,,
77,NILE,Nile,2017-09-01,2017-09-30,,,,,
78,NILE,Nile,2017-10-01,2017-10-31,,,,,
