index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,ORAN,Orange,06/01/2008,06/30/2008,,,,,
1,ORAN,Orange,07/01/2008,07/31/2008,,,,,
2,ORAN,Orange,08/01/2008,08/31/2008,,,,,
3,ORAN,Orange,09/01/2008,09/30/2008,,,,,
4,ORAN,Orange,10/01/2008,10/31/2008,,,,,
5,ORAN,Orange,11/01/2008,11/30/2008,,,,,
6,ORAN,Orange,12/01/2008,12/31/2008,,,,,
7,ORAN,Orange,01/01/2009,01/31/2009,,,,,
8,ORAN,Orange,02/01/2009,02/28/2009,,,,,
9,ORAN,Orange,03/01/2009,03/31/2009,,,,,
10,ORAN,Orange,04/01/2009,04/30/2009,,,,,
11,ORAN,Orange,05/01/2009,05/31/2009,,,,,
12,ORAN,Orange,06/01/2009,06/30/2009,,,,,
13,ORAN,Orange,07/01/2009,07/31/2009,,,,,
14,ORAN,Orange,08/01/2009,08/31/2009,,,,,
15,ORAN,Orange,09/01/2009,09/30/2009,,,,,
16,ORAN,Orange,10/01/2009,10/31/2009,,,,,
17,ORAN,Orange,11/01/2009,11/30/2009,,,,,
18,ORAN,Orange,12/01/2009,12/31/2009,,,,,
19,ORAN,Orange,01/01/2010,01/31/2010,,,,,
20,ORAN,Orange,02/01/2010,02/28/2010,,,,,
21,ORAN,Orange,03/01/2010,03/31/2010,,,,,
22,ORAN,Orange,04/01/2010,04/30/2010,,,,,
23,ORAN,Orange,05/01/2010,05/31/2010,,,,,
24,ORAN,Orange,06/01/2010,06/30/2010,,,,,
25,ORAN,Orange,07/01/2010,07/31/2010,,,,,
26,ORAN,Orange,08/01/2010,08/31/2010,,,,,
27,ORAN,Orange,09/01/2010,09/30/2010,,,,,
28,ORAN,Orange,10/01/2010,10/31/2010,,,,,
29,ORAN,Orange,11/01/2010,11/30/2010,,,,,
30,ORAN,Orange,12/01/2010,12/31/2010,,,,,
31,ORAN,Orange,01/01/2011,01/31/2011,,,,,
32,ORAN,Orange,02/01/2011,02/28/2011,,,,,
33,ORAN,Orange,03/01/2011,03/31/2011,,,,,
34,ORAN,Orange,04/01/2011,04/30/2011,,,,,
35,ORAN,Orange,05/01/2011,05/31/2011,,,,,
36,ORAN,Orange,06/01/2011,06/30/2011,,,,,
37,ORAN,Orange,07/01/2011,07/31/2011,,,,,
38,ORAN,Orange,08/01/2011,08/31/2011,,,,,
39,ORAN,Orange,09/01/2011,09/30/2011,,,,,
40,ORAN,Orange,10/01/2011,10/31/2011,,,,,
41,ORAN,Orange,11/01/2011,11/30/2011,,,,,
42,ORAN,Orange,12/01/2011,12/31/2011,,,,,
43,ORAN,Orange,01/01/2012,01/31/2012,,,,,
44,ORAN,Orange,02/01/2012,02/29/2012,,,,,
45,ORAN,Orange,03/01/2012,03/31/2012,,,,,
46,ORAN,Orange,04/01/2012,04/30/2012,,,,,
47,ORAN,Orange,05/01/2012,05/31/2012,,,,,
48,ORAN,Orange,06/01/2012,06/30/2012,,,,,
49,ORAN,Orange,07/01/2012,07/31/2012,,,,,
50,ORAN,Orange,08/01/2012,08/31/2012,,,,,
51,ORAN,Orange,09/01/2012,09/30/2012,,,,,
52,ORAN,Orange,10/01/2012,10/31/2012,,,,,
53,ORAN,Orange,11/01/2012,11/30/2012,,,,,
54,ORAN,Orange,12/01/2012,12/31/2012,,,,,
55,ORAN,Orange,01/01/2013,01/31/2013,,,,,
56,ORAN,Orange,02/01/2013,02/28/2013,,,,,
57,ORAN,Orange,03/01/2013,03/31/2013,,,,,
58,ORAN,Orange,04/01/2013,04/30/2013,,,,,
59,ORAN,Orange,05/01/2013,05/31/2013,,,,,
60,ORAN,Orange,06/01/2013,06/30/2013,,,,,
61,ORAN,Orange,07/01/2013,07/31/2013,,,,,
62,ORAN,Orange,08/01/2013,08/31/2013,,,,,
63,ORAN,Orange,09/01/2013,09/30/2013,,,,,
64,ORAN,Orange,10/01/2013,10/31/2013,,,,,
65,ORAN,Orange,11/01/2013,11/30/2013,,,,,
66,ORAN,Orange,12/01/2013,12/31/2013,,,,,
67,ORAN,Orange,01/01/2014,01/31/2014,,,,,
68,ORAN,Orange,02/01/2014,02/28/2014,,,,,
69,ORAN,Orange,03/01/2014,03/31/2014,,,,,
70,ORAN,Orange,04/01/2014,04/30/2014,,,,,
71,ORAN,Orange,05/01/2014,05/31/2014,,,,,
72,ORAN,Orange,06/01/2014,06/30/2014,,,,,
73,ORAN,Orange,07/01/2014,07/31/2014,,,,,
74,ORAN,Orange,08/01/2014,08/31/2014,,,,,
75,ORAN,Orange,09/01/2014,09/30/2014,,,,,
76,ORAN,Orange,10/01/2014,10/31/2014,,,,,
