index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,RGSA,Rio Grande (South America),06/30/2008,06/30/2009,,,,,
1,RGSA,Rio Grande (South America),07/01/2009,06/30/2010,,,,,
2,RGSA,Rio Grande (South America),07/01/2010,06/30/2011,,,,,
3,RGSA,Rio Grande (South America),07/01/2011,06/30/2012,,,,,
4,RGSA,Rio Grande (South America),07/01/2012,06/30/2013,,,,,
5,RGSA,Rio Grande (South America),07/01/2013,06/30/2014,,,,,
6,RGSA,Rio Grande (South America),07/01/2014,06/30/2015,,,,,
7,RGSA,Rio Grande (South America),07/01/2015,06/30/2016,,,,,
8,RGSA,Rio Grande (South America),07/01/2016,06/30/2017,,,,,
9,RGSA,Rio Grande (South America),07/01/2017,06/30/2018,,,,,
10,RGSA,Rio Grande (South America),07/01/2018,06/30/2019,,,,,
11,RGSA,Rio Grande (South America),07/01/2019,06/30/2020,,,,,
12,RGSA,Rio Grande (South America),07/01/2020,06/30/2021,,,,,
13,RGSA,Rio Grande (South America),07/01/2021,06/30/2022,,,,,
14,RGSA,Rio Grande (South America),07/01/2022,07/01/2023,,,,,
15,RGSA,Rio Grande (South America),2023-07-02 00:00:00,2024-03-15 00:00:00,,,,,
