index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,RHON,Rhone,06/30/2008,06/30/2009,,,,,
1,RHON,Rhone,07/01/2009,06/30/2010,,,,,
2,RHON,Rhone,07/01/2010,12/31/2010,,,,,
3,RHON,Rhone,01/01/2011,06/30/2011,,,,,
4,RHON,Rhone,07/01/2011,12/31/2011,,,,,
5,RHON,Rhone,01/01/2012,06/30/2012,,,,,
6,RHON,Rhone,07/01/2012,09/30/2012,,,,,
7,RHON,Rhone,10/01/2012,10/31/2012,,,,,
8,RHON,Rhone,11/01/2012,11/30/2012,,,,,
9,RHON,Rhone,12/01/2012,12/31/2012,,,,,
10,RHON,Rhone,01/01/2013,01/31/2013,,,,,
11,RHON,Rhone,02/01/2013,02/28/2013,,,,,
12,RHON,Rhone,03/01/2013,03/31/2013,,,,,
13,RHON,Rhone,04/01/2013,04/30/2013,,,,,
14,RHON,Rhone,05/01/2013,05/31/2013,,,,,
15,RHON,Rhone,06/01/2013,06/30/2013,,,,,
16,RHON,Rhone,07/01/2013,07/31/2013,,,,,
17,RHON,Rhone,08/01/2013,08/31/2013,,,,,
18,RHON,Rhone,09/01/2013,09/30/2013,,,,,
19,RHON,Rhone,10/01/2013,10/31/2013,,,,,
20,RHON,Rhone,11/01/2013,11/30/2013,,,,,
21,RHON,Rhone,12/01/2013,12/31/2013,,,,,
22,RHON,Rhone,01/01/2014,01/31/2014,,,,,
23,RHON,Rhone,02/01/2014,02/28/2014,,,,,
24,RHON,Rhone,03/01/2014,03/31/2014,,,,,
25,RHON,Rhone,04/01/2014,04/30/2014,,,,,
26,RHON,Rhone,05/01/2014,05/31/2014,,,,,
27,RHON,Rhone,06/01/2014,06/30/2014,,,,,
28,RHON,Rhone,07/01/2014,07/31/2014,,,,,
29,RHON,Rhone,08/01/2014,08/31/2014,,,,,
30,RHON,Rhone,09/01/2014,09/30/2014,,,,,
31,RHON,Rhone,10/01/2014,10/31/2014,,,,,
32,RHON,Rhone,11/01/2014,11/30/2014,,,,,
33,RHON,Rhone,12/01/2014,12/31/2014,,,,,
34,RHON,Rhone,01/01/2015,01/31/2015,,,,,
35,RHON,Rhone,02/01/2015,02/28/2015,,,,,
36,RHON,Rhone,03/01/2015,03/31/2015,,,,,
37,RHON,Rhone,04/01/2015,04/30/2015,,,,,
38,RHON,Rhone,05/01/2015,05/31/2015,,,,,
39,RHON,Rhone,06/01/2015,06/30/2015,,,,,
40,RHON,Rhone,07/01/2015,07/31/2015,,,,,
41,RHON,Rhone,08/01/2015,08/31/2015,,,,,
42,RHON,Rhone,09/01/2015,09/30/2015,,,,,
43,RHON,Rhone,10/01/2015,10/31/2015,,,,,
44,RHON,Rhone,11/01/2015,11/30/2015,,,,,
45,RHON,Rhone,12/01/2015,12/31/2015,,,,,
46,RHON,Rhone,01/01/2016,01/31/2016,,,,,
47,RHON,Rhone,02/01/2016,02/29/2016,,,,,
48,RHON,Rhone,03/01/2016,03/31/2016,,,,,
49,RHON,Rhone,04/01/2016,04/30/2016,,,,,
50,RHON,Rhone,05/01/2016,05/31/2016,,,,,
51,RHON,Rhone,06/01/2016,06/30/2016,,,,,
52,RHON,Rhone,07/01/2016,07/31/2016,,,,,
53,RHON,Rhone,08/01/2016,08/31/2016,,,,,
54,RHON,Rhone,09/01/2016,09/30/2016,,,,,
55,RHON,Rhone,10/01/2016,10/31/2016,,,,,
56,RHON,Rhone,11/01/2016,11/30/2016,,,,,
57,RHON,Rhone,12/01/2016,12/31/2016,,,,,
58,RHON,Rhone,01/01/2017,01/31/2017,,,,,
59,RHON,Rhone,02/01/2017,02/28/2017,,,,,
60,RHON,Rhone,03/01/2017,03/31/2017,,,,,
61,RHON,Rhone,04/01/2017,04/30/2017,,,,,
62,RHON,Rhone,05/01/2017,05/31/2017,,,,,
63,RHON,Rhone,06/01/2017,06/30/2017,,,,,
64,RHON,Rhone,07/01/2017,07/31/2017,,,,,
65,RHON,Rhone,08/01/2017,08/31/2017,,,,,
66,RHON,Rhone,09/01/2017,09/30/2017,,,,,
67,RHON,Rhone,10/01/2017,10/31/2017,,,,,
68,RHON,Rhone,11/01/2017,11/30/2017,,,,,
69,RHON,Rhone,12/01/2017,12/31/2017,,,,,
70,RHON,Rhone,01/01/2018,01/31/2018,,,,,
71,RHON,Rhone,02/01/2018,02/28/2018,,,,,
72,RHON,Rhone,03/01/2018,03/31/2018,,,,,
73,RHON,Rhone,04/01/2018,04/30/2018,,,,,
74,RHON,Rhone,05/01/2018,05/31/2018,,,,,
75,RHON,Rhone,06/01/2018,06/30/2018,,,,,
76,RHON,Rhone,07/01/2018,07/31/2018,,,,,
77,RHON,Rhone,08/01/2018,08/31/2018,,,,,
78,RHON,Rhone,09/01/2018,09/30/2018,,,,,
79,RHON,Rhone,10/01/2018,10/31/2018,,,,,
80,RHON,Rhone,11/01/2018,11/30/2018,,,,,
81,RHON,Rhone,12/01/2018,12/31/2018,,,,,
82,RHON,Rhone,01/01/2019,01/31/2019,,,,,
83,RHON,Rhone,02/01/2019,02/28/2019,,,,,
