index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SABI,Sabi,06/30/2008,12/31/2009,,,,,
1,SABI,Sabi,01/01/2010,06/30/2011,,,,,
2,SABI,Sabi,07/01/2011,12/31/2012,,,,,
3,SABI,Sabi,01/01/2013,06/30/2014,,,,,
12,SABI,Sabi,07/01/2014,12/31/2015,,,,,
13,SABI,Sabi,01/01/2016,06/30/2017,,,,,
14,SABI,Sabi,07/01/2017,12/31/2018,,,,,
15,SABI,Sabi,01/01/2019,06/30/2020,,,,,
16,SABI,Sabi,07/01/2020,12/31/2021,,,,,
17,SABI,Sabi,01/01/2022,06/30/2023,,,,,
18,SABI,Sabi,07/01/2017,12/31/2017,,,,,
19,SABI,Sabi,01/01/2018,06/30/2018,,,,,
20,SABI,Sabi,07/01/2018,12/31/2018,,,,,
21,SABI,Sabi,01/01/2019,06/30/2019,,,,,
22,SABI,Sabi,07/01/2019,12/31/2019,,,,,
23,SABI,Sabi,01/01/2020,06/30/2020,,,,,
24,SABI,Sabi,07/01/2020,12/31/2020,,,,,
25,SABI,Sabi,01/01/2021,06/30/2021,,,,,
26,SABI,Sabi,07/01/2021,12/31/2021,,,,,
27,SABI,Sabi,01/01/2022,06/30/2022,,,,,
28,SABI,Sabi,07/01/2022,12/31/2022,,,,,
29,SABI,Sabi,01/01/2023,07/01/2023,,,,,
30,SABI,Sabi,2023-07-02 00:00:00,2023-12-31 00:00:00,,,,,
31,SABI,Sabi,2024-01-01 00:00:00,2024-03-15 00:00:00,,,,,
