index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SALW,Salween,06/30/2008,06/30/2009,,,,,0.0
1,SALW,Salween,07/01/2009,06/30/2010,,,,,0.0
2,SALW,Salween,07/01/2010,12/31/2010,,,,,0.0
3,SALW,Salween,01/01/2011,06/30/2011,,,,,
4,SALW,Salween,07/01/2011,12/31/2011,,,,,
5,SALW,Salween,01/01/2012,06/30/2012,,,,,
6,SALW,Salween,07/01/2012,12/31/2012,,,,,
7,SALW,Salween,01/01/2013,06/30/2013,,,,,
8,SALW,Salween,07/01/2013,12/31/2013,,,,,
9,SALW,Salween,01/01/2014,06/30/2014,,,,,
10,SALW,Salween,07/01/2014,12/31/2014,,,,,
11,SALW,Salween,01/01/2015,06/30/2015,,,,,
12,SALW,Salween,07/01/2015,09/30/2015,,,,,
13,SALW,Salween,10/01/2015,12/31/2015,,,,,
14,SALW,Salween,01/01/2016,03/31/2016,,,,,
15,SALW,Salween,04/01/2016,06/30/2016,,,,,
16,SALW,Salween,07/01/2016,09/30/2016,,,,,
17,SALW,Salween,10/01/2016,12/31/2016,,,,,
18,SALW,Salween,01/01/2017,03/31/2017,,,,,
19,SALW,Salween,04/01/2017,06/30/2017,,,,,
20,SALW,Salween,07/01/2017,09/30/2017,,,,,
21,SALW,Salween,10/01/2017,12/31/2017,,,,,
22,SALW,Salween,01/01/2018,03/31/2018,,,,,
23,SALW,Salween,04/01/2018,06/30/2018,,,,,
24,SALW,Salween,07/01/2018,07/31/2018,,,,,
25,SALW,Salween,08/01/2018,08/31/2018,,,,,
26,SALW,Salween,09/01/2018,09/30/2018,,,,,
27,SALW,Salween,10/01/2018,10/31/2018,,,,,
28,SALW,Salween,11/01/2018,11/30/2018,,,,,
29,SALW,Salween,12/01/2018,12/31/2018,,,,,
30,SALW,Salween,01/01/2019,01/31/2019,,,,,
31,SALW,Salween,02/01/2019,02/28/2019,,,,,
32,SALW,Salween,03/01/2019,03/31/2019,,,,,
33,SALW,Salween,04/01/2019,04/30/2019,,,,,
34,SALW,Salween,05/01/2019,05/31/2019,,,,,
35,SALW,Salween,06/01/2019,06/30/2019,,,,,
36,SALW,Salween,07/01/2019,07/31/2019,,,,,
37,SALW,Salween,08/01/2019,08/31/2019,,,,,
38,SALW,Salween,09/01/2019,09/30/2019,,,,,
39,SALW,Salween,10/01/2019,10/31/2019,,,,,
40,SALW,Salween,11/01/2019,11/30/2019,,,,,
41,SALW,Salween,12/01/2019,12/31/2019,,,,,
42,SALW,Salween,01/01/2020,01/31/2020,,,,,
43,SALW,Salween,02/01/2020,02/29/2020,,,,,
44,SALW,Salween,03/01/2020,03/31/2020,,,,,
45,SALW,Salween,04/01/2020,04/30/2020,,,,,
46,SALW,Salween,05/01/2020,05/31/2020,,,,,
47,SALW,Salween,06/01/2020,06/30/2020,,,,,
48,SALW,Salween,07/01/2020,09/30/2020,,,,,
49,SALW,Salween,10/01/2020,12/31/2020,,,,,
50,SALW,Salween,01/01/2021,03/31/2021,,,,,
51,SALW,Salween,04/01/2021,06/30/2021,,,,,
52,SALW,Salween,07/01/2021,09/30/2021,,,,,
53,SALW,Salween,10/01/2021,12/31/2021,,,,,
54,SALW,Salween,01/01/2022,03/31/2022,,,,,
55,SALW,Salween,04/01/2022,06/30/2022,,,,,
56,SALW,Salween,07/01/2022,09/30/2022,,,,,
57,SALW,Salween,10/01/2022,12/31/2022,,,,,
58,SALW,Salween,01/01/2023,03/31/2023,,,,,
59,SALW,Salween,04/01/2023,06/30/2023,,,,,
60,SALW,Salween,07/01/2023,09/30/2023,,,,,
61,SALW,Salween,10/01/2023,12/31/2023,,,,,
62,SALW,Salween,01/01/2024,03/15/2024,,,,,
