index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SEIN,Seine,06/30/2008,06/30/2009,,,,,0.0
1,SEIN,Seine,07/01/2009,06/30/2010,,,,,0.0
2,SEIN,Seine,07/01/2010,06/30/2011,,,,,0.0
3,SEIN,Seine,07/01/2011,12/31/2011,,,,,
4,SEIN,Seine,01/01/2012,06/30/2012,,,,,
5,SEIN,Seine,07/01/2012,12/31/2012,,,,,
6,SEIN,Seine,01/01/2013,06/30/2013,,,,,
7,SEIN,Seine,07/01/2013,12/31/2013,,,,,
8,SEIN,Seine,01/01/2014,06/30/2014,,,,,
9,SEIN,Seine,07/01/2014,12/31/2014,,,,,
10,SEIN,Seine,01/01/2015,06/30/2015,,,,,
11,SEIN,Seine,07/01/2015,12/31/2015,,,,,
12,SEIN,Seine,01/01/2016,06/30/2016,,,,,
13,SEIN,Seine,07/01/2016,12/31/2016,,,,,
14,SEIN,Seine,01/01/2017,06/30/2017,,,,,
15,SEIN,Seine,07/01/2017,07/31/2017,,,,,
16,SEIN,Seine,08/01/2017,08/31/2017,,,,,
17,SEIN,Seine,09/01/2017,09/30/2017,,,,,
18,SEIN,Seine,10/01/2017,10/31/2017,,,,,
19,SEIN,Seine,11/01/2017,11/30/2017,,,,,
20,SEIN,Seine,12/01/2017,12/31/2017,,,,,
21,SEIN,Seine,01/01/2018,01/31/2018,,,,,
22,SEIN,Seine,02/01/2018,02/28/2018,,,,,
23,SEIN,Seine,03/01/2018,03/31/2018,,,,,
24,SEIN,Seine,04/01/2018,04/30/2018,,,,,
25,SEIN,Seine,05/01/2018,05/31/2018,,,,,
26,SEIN,Seine,06/01/2018,06/30/2018,,,,,
27,SEIN,Seine,07/01/2018,07/31/2018,,,,,
28,SEIN,Seine,08/01/2018,08/31/2018,,,,,
29,SEIN,Seine,09/01/2018,09/30/2018,,,,,
30,SEIN,Seine,10/01/2018,10/31/2018,,,,,
31,SEIN,Seine,11/01/2018,11/30/2018,,,,,
32,SEIN,Seine,12/01/2018,12/31/2018,,,,,
33,SEIN,Seine,01/01/2019,03/31/2019,,,,,
34,SEIN,Seine,04/01/2019,06/30/2019,,,,,
35,SEIN,Seine,07/01/2019,09/30/2019,,,,,
36,SEIN,Seine,10/01/2019,12/31/2019,,,,,
37,SEIN,Seine,01/01/2020,03/31/2020,,,,,
38,SEIN,Seine,04/01/2020,06/30/2020,,,,,
39,SEIN,Seine,07/01/2020,09/30/2020,,,,,
40,SEIN,Seine,10/01/2020,12/31/2020,,,,,
41,SEIN,Seine,01/01/2021,03/31/2021,,,,,
42,SEIN,Seine,04/01/2021,06/30/2021,,,,,
43,SEIN,Seine,07/01/2021,09/30/2021,,,,,
44,SEIN,Seine,10/01/2021,12/31/2021,,,,,
45,SEIN,Seine,01/01/2022,03/31/2022,,,,,
46,SEIN,Seine,04/01/2022,06/30/2022,,,,,
47,SEIN,Seine,07/01/2022,09/30/2022,,,,,
48,SEIN,Seine,10/01/2022,12/31/2022,,,,,
49,SEIN,Seine,01/01/2023,03/31/2023,,,,,
50,SEIN,Seine,04/01/2023,06/30/2023,,,,,
51,SEIN,Seine,07/01/2023,09/30/2023,,,,,
52,SEIN,Seine,10/01/2023,12/31/2023,,,,,
53,SEIN,Seine,01/01/2024,03/15/2024,,,,,
