index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SJNA,St. John (North America),06/30/2008,08/31/2008,,,,,
1,SJNA,St. John (North America),09/01/2008,10/31/2008,,,,,
2,SJNA,St. John (North America),11/01/2008,12/31/2008,,,,,
3,SJNA,St. John (North America),01/01/2009,02/28/2009,,,,,
4,SJNA,St. John (North America),03/01/2009,04/30/2009,,,,,
5,SJNA,St. John (North America),05/01/2009,06/30/2009,,,,,
6,SJNA,St. John (North America),07/01/2009,08/31/2009,,,,,
7,SJNA,St. John (North America),09/01/2009,10/31/2009,,,,,
8,SJNA,St. John (North America),11/01/2009,12/31/2009,,,,,
9,SJNA,St. John (North America),01/01/2010,02/28/2010,,,,,
10,SJNA,St. John (North America),03/01/2010,04/30/2010,,,,,
11,SJNA,St. John (North America),05/01/2010,06/30/2010,,,,,
12,SJNA,St. John (North America),07/01/2010,08/31/2010,,,,,
13,SJNA,St. John (North America),09/01/2010,10/31/2010,,,,,
14,SJNA,St. John (North America),11/01/2010,12/31/2010,,,,,
15,SJNA,St. John (North America),01/01/2011,02/28/2011,,,,,
16,SJNA,St. John (North America),03/01/2011,04/30/2011,,,,,
17,SJNA,St. John (North America),05/01/2011,06/30/2011,,,,,
18,SJNA,St. John (North America),07/01/2011,08/31/2011,,,,,
19,SJNA,St. John (North America),09/01/2011,10/31/2011,,,,,
20,SJNA,St. John (North America),11/01/2011,12/31/2011,,,,,
21,SJNA,St. John (North America),01/01/2012,02/29/2012,,,,,
22,SJNA,St. John (North America),03/01/2012,04/30/2012,,,,,
23,SJNA,St. John (North America),05/01/2012,06/30/2012,,,,,
24,SJNA,St. John (North America),07/01/2012,08/31/2012,,,,,
25,SJNA,St. John (North America),09/01/2012,10/31/2012,,,,,
26,SJNA,St. John (North America),11/01/2012,12/31/2012,,,,,
27,SJNA,St. John (North America),01/01/2013,02/28/2013,,,,,
28,SJNA,St. John (North America),03/01/2013,04/30/2013,,,,,
29,SJNA,St. John (North America),05/01/2013,06/30/2013,,,,,
30,SJNA,St. John (North America),07/01/2013,08/31/2013,,,,,
31,SJNA,St. John (North America),09/01/2013,10/31/2013,,,,,
32,SJNA,St. John (North America),11/01/2013,12/31/2013,,,,,
33,SJNA,St. John (North America),01/01/2014,02/28/2014,,,,,
34,SJNA,St. John (North America),03/01/2014,04/30/2014,,,,,
35,SJNA,St. John (North America),05/01/2014,06/30/2014,,,,,
36,SJNA,St. John (North America),07/01/2014,08/31/2014,,,,,
37,SJNA,St. John (North America),09/01/2014,10/31/2014,,,,,
38,SJNA,St. John (North America),11/01/2014,12/31/2014,,,,,
39,SJNA,St. John (North America),01/01/2015,02/28/2015,,,,,
40,SJNA,St. John (North America),03/01/2015,04/30/2015,,,,,
41,SJNA,St. John (North America),05/01/2015,06/30/2015,,,,,
42,SJNA,St. John (North America),07/01/2015,08/31/2015,,,,,
43,SJNA,St. John (North America),09/01/2015,10/31/2015,,,,,
44,SJNA,St. John (North America),11/01/2015,12/31/2015,,,,,
45,SJNA,St. John (North America),01/01/2016,02/29/2016,,,,,
46,SJNA,St. John (North America),03/01/2016,04/30/2016,,,,,
47,SJNA,St. John (North America),05/01/2016,06/30/2016,,,,,
48,SJNA,St. John (North America),07/01/2016,08/31/2016,,,,,
49,SJNA,St. John (North America),09/01/2016,10/31/2016,,,,,
50,SJNA,St. John (North America),11/01/2016,12/31/2016,,,,,
51,SJNA,St. John (North America),01/01/2017,02/28/2017,,,,,
52,SJNA,St. John (North America),03/01/2017,04/30/2017,,,,,
53,SJNA,St. John (North America),05/01/2017,06/30/2017,,,,,
54,SJNA,St. John (North America),07/01/2017,08/31/2017,,,,,
55,SJNA,St. John (North America),09/01/2017,10/31/2017,,,,,
56,SJNA,St. John (North America),11/01/2017,12/31/2017,,,,,
57,SJNA,St. John (North America),01/01/2018,02/28/2018,,,,,
58,SJNA,St. John (North America),03/01/2018,04/30/2018,,,,,
59,SJNA,St. John (North America),05/01/2018,06/30/2018,,,,,
60,SJNA,St. John (North America),07/01/2018,08/31/2018,,,,,
61,SJNA,St. John (North America),09/01/2018,10/31/2018,,,,,
62,SJNA,St. John (North America),11/01/2018,12/31/2018,,,,,
63,SJNA,St. John (North America),01/01/2019,02/28/2019,,,,,
64,SJNA,St. John (North America),03/01/2019,04/30/2019,,,,,
65,SJNA,St. John (North America),05/01/2019,06/30/2019,,,,,
66,SJNA,St. John (North America),07/01/2019,08/31/2019,,,,,
67,SJNA,St. John (North America),09/01/2019,10/31/2019,,,,,
68,SJNA,St. John (North America),11/01/2019,12/31/2019,,,,,
69,SJNA,St. John (North America),01/01/2020,02/29/2020,,,,,
70,SJNA,St. John (North America),03/01/2020,04/30/2020,,,,,
71,SJNA,St. John (North America),05/01/2020,06/30/2020,,,,,
72,SJNA,St. John (North America),07/01/2020,08/31/2020,,,,,
73,SJNA,St. John (North America),09/01/2020,10/31/2020,,,,,
74,SJNA,St. John (North America),11/01/2020,12/31/2020,,,,,
75,SJNA,St. John (North America),01/01/2021,02/28/2021,,,,,
76,SJNA,St. John (North America),03/01/2021,04/30/2021,,,,,
77,SJNA,St. John (North America),05/01/2021,06/30/2021,,,,,
78,SJNA,St. John (North America),07/01/2021,08/31/2021,,,,,
79,SJNA,St. John (North America),09/01/2021,10/31/2021,,,,,
80,SJNA,St. John (North America),11/01/2021,12/31/2021,,,,,
81,SJNA,St. John (North America),01/01/2022,02/28/2022,,,,,
82,SJNA,St. John (North America),03/01/2022,04/30/2022,,,,,
83,SJNA,St. John (North America),05/01/2022,06/30/2022,,,,,
84,SJNA,St. John (North America),07/01/2022,08/31/2022,,,,,
85,SJNA,St. John (North America),09/01/2022,10/31/2022,,,,,
86,SJNA,St. John (North America),11/01/2022,12/31/2022,,,,,
87,SJNA,St. John (North America),01/01/2023,02/28/2023,,,,,
88,SJNA,St. John (North America),03/01/2023,04/30/2023,,,,,
89,SJNA,St. John (North America),05/01/2023,07/01/2023,,,,,
90,SJNA,St. John (North America),2023-07-02 00:00:00,2023-08-31 00:00:00,,,,,
91,SJNA,St. John (North America),2023-09-01 00:00:00,2023-10-31 00:00:00,,,,,
92,SJNA,St. John (North America),2023-11-01 00:00:00,2023-12-31 00:00:00,,,,,
93,SJNA,St. John (North America),2024-01-01 00:00:00,2024-02-29 00:00:00,,,,,
94,SJNA,St. John (North America),2024-03-01 00:00:00,2024-03-15 00:00:00,,,,,
