index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SPAU,St. Paul,06/30/2008,06/30/2011,,,1.0,,0.0
1,SPAU,St. Paul,07/01/2011,12/31/2012,,,0.0,,0.0
2,SPAU,St. Paul,01/01/2013,12/31/2013,,,0.0,,0.0
3,SPAU,St. Paul,01/01/2014,06/30/2014,,,,,
4,SPAU,St. Paul,07/01/2014,12/31/2014,,,,,
5,SPAU,St. Paul,01/01/2015,06/30/2015,,,,,
6,SPAU,St. Paul,07/01/2015,12/31/2015,,,,,
7,SPAU,St. Paul,01/01/2016,06/30/2016,,,,,
8,SPAU,St. Paul,07/01/2016,12/31/2016,,,,,
9,SPAU,St. Paul,01/01/2017,06/30/2017,,,,,
10,SPAU,St. Paul,07/01/2017,12/31/2017,,,,,
11,SPAU,St. Paul,01/01/2018,06/30/2018,,,,,
12,SPAU,St. Paul,07/01/2018,12/31/2018,,,,,
13,SPAU,St. Paul,01/01/2019,06/30/2019,,,,,
14,SPAU,St. Paul,07/01/2019,12/31/2019,,,,,
15,SPAU,St. Paul,01/01/2020,06/30/2020,,,,,
16,SPAU,St. Paul,07/01/2020,12/31/2020,,,,,
17,SPAU,St. Paul,01/01/2021,06/30/2021,,,,,
18,SPAU,St. Paul,07/01/2021,12/31/2021,,,,,
19,SPAU,St. Paul,01/01/2022,06/30/2022,,,,,
20,SPAU,St. Paul,07/01/2022,12/31/2022,,,,,
21,SPAU,St. Paul,01/01/2023,06/30/2023,,,,,
22,SPAU,St. Paul,07/01/2023,12/31/2023,,,,,
23,SPAU,St. Paul,01/01/2024,03/15/2024,,,,,
