index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,VAGR,Vanimo-Green,06/30/2008,09/30/2008,,,,,
1,VAGR,Vanimo-Green,10/01/2008,12/31/2008,,,,,
2,VAGR,Vanimo-Green,01/01/2009,03/31/2009,,,,,
3,VAGR,Vanimo-Green,04/01/2009,06/30/2009,,,,,
4,VAGR,Vanimo-Green,07/01/2009,09/30/2009,,,,,
5,VAGR,Vanimo-Green,10/01/2009,12/31/2009,,,,,
6,VAGR,Vanimo-Green,01/01/2010,03/31/2010,,,,,
7,VAGR,Vanimo-Green,04/01/2010,06/30/2010,,,,,
8,VAGR,Vanimo-Green,07/01/2010,09/30/2010,,,,,
9,VAGR,Vanimo-Green,10/01/2010,12/31/2010,,,,,
10,VAGR,Vanimo-Green,01/01/2011,03/31/2011,,,,,
11,VAGR,Vanimo-Green,04/01/2011,06/30/2011,,,,,
12,VAGR,Vanimo-Green,07/01/2011,09/30/2011,,,,,
13,VAGR,Vanimo-Green,10/01/2011,12/31/2011,,,,,
14,VAGR,Vanimo-Green,01/01/2012,03/31/2012,,,,,
15,VAGR,Vanimo-Green,04/01/2012,06/30/2012,,,,,
16,VAGR,Vanimo-Green,07/01/2012,09/30/2012,,,,,
17,VAGR,Vanimo-Green,10/01/2012,12/31/2012,,,,,
18,VAGR,Vanimo-Green,01/01/2013,03/31/2013,,,,,
19,VAGR,Vanimo-Green,04/01/2013,06/30/2013,,,,,
20,VAGR,Vanimo-Green,07/01/2013,09/30/2013,,,,,
21,VAGR,Vanimo-Green,10/01/2013,12/31/2013,,,,,
22,VAGR,Vanimo-Green,01/01/2014,03/31/2014,,,,,
23,VAGR,Vanimo-Green,04/01/2014,06/30/2014,,,,,
24,VAGR,Vanimo-Green,07/01/2014,09/30/2014,,,,,
25,VAGR,Vanimo-Green,10/01/2014,12/31/2014,,,,,
26,VAGR,Vanimo-Green,01/01/2015,03/31/2015,,,,,
27,VAGR,Vanimo-Green,04/01/2015,06/30/2015,,,,,
28,VAGR,Vanimo-Green,07/01/2015,09/30/2015,,,,,
29,VAGR,Vanimo-Green,10/01/2015,12/31/2015,,,,,
30,VAGR,Vanimo-Green,01/01/2016,03/31/2016,,,,,
31,VAGR,Vanimo-Green,04/01/2016,06/30/2016,,,,,
32,VAGR,Vanimo-Green,07/01/2016,09/30/2016,,,,,
33,VAGR,Vanimo-Green,10/01/2016,12/31/2016,,,,,
34,VAGR,Vanimo-Green,01/01/2017,03/31/2017,,,,,
35,VAGR,Vanimo-Green,04/01/2017,06/30/2017,,,,,
36,VAGR,Vanimo-Green,07/01/2017,09/30/2017,,,,,
37,VAGR,Vanimo-Green,10/01/2017,12/31/2017,,,,,
38,VAGR,Vanimo-Green,01/01/2018,03/31/2018,,,,,
39,VAGR,Vanimo-Green,04/01/2018,06/30/2018,,,,,
40,VAGR,Vanimo-Green,07/01/2018,09/30/2018,,,,,
41,VAGR,Vanimo-Green,10/01/2018,12/31/2018,,,,,
42,VAGR,Vanimo-Green,01/01/2019,03/31/2019,,,,,
43,VAGR,Vanimo-Green,04/01/2019,06/30/2019,,,,,
44,VAGR,Vanimo-Green,07/01/2019,09/30/2019,,,,,
45,VAGR,Vanimo-Green,10/01/2019,12/31/2019,,,,,
46,VAGR,Vanimo-Green,01/01/2020,03/31/2020,,,,,
47,VAGR,Vanimo-Green,04/01/2020,06/30/2020,,,,,
48,VAGR,Vanimo-Green,07/01/2020,09/30/2020,,,,,
49,VAGR,Vanimo-Green,10/01/2020,12/31/2020,,,,,
50,VAGR,Vanimo-Green,01/01/2021,03/31/2021,,,,,
51,VAGR,Vanimo-Green,04/01/2021,06/30/2021,,,,,
52,VAGR,Vanimo-Green,07/01/2021,09/30/2021,,,,,
53,VAGR,Vanimo-Green,10/01/2021,12/31/2021,,,,,
54,VAGR,Vanimo-Green,01/01/2022,03/31/2022,,,,,
55,VAGR,Vanimo-Green,04/01/2022,06/30/2022,,,,,
56,VAGR,Vanimo-Green,07/01/2022,09/30/2022,,,,,
57,VAGR,Vanimo-Green,10/01/2022,12/31/2022,,,,,
58,VAGR,Vanimo-Green,01/01/2023,03/31/2023,,,,,
59,VAGR,Vanimo-Green,04/01/2023,2023-06-30 00:00:00,,,,,
60,VAGR,Vanimo-Green,07/01/2023,09/30/2023,,,,,
61,VAGR,Vanimo-Green,10/01/2023,12/31/2023,,,,,
62,VAGR,Vanimo-Green,01/01/2024,2024-03-15 00:00:00,,,,,
