index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,VJSE,Vijose,06/30/2008,06/30/2017,,,,,
1,VJSE,Vijose,07/01/2017,08/31/2017,,,,,
2,VJSE,Vijose,09/01/2017,10/31/2017,,,,,
3,VJSE,Vijose,11/01/2017,12/31/2017,,,,,
4,VJSE,Vijose,01/01/2018,02/28/2018,,,,,
5,VJSE,Vijose,03/01/2018,04/30/2018,,,,,
6,VJSE,Vijose,05/01/2018,06/30/2018,,,,,
7,VJSE,Vijose,07/01/2018,09/30/2019,,,,,
8,VJSE,Vijose,10/01/2019,03/31/2021,,,,,
9,VJSE,Vijose,04/01/2023,06/30/2023,,,,,
10,VJSE,Vijose,07/01/2023,09/30/2023,,,,,
11,VJSE,Vijose,10/01/2023,12/31/2023,,,,,
12,VJSE,Vijose,01/01/2024,03/15/2024,,,,,
