index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,VSTL,Vistula/Wista,06/30/2008,09/30/2008,,,,,
1,VSTL,Vistula/Wista,10/01/2008,12/31/2008,,,,,
2,VSTL,Vistula/Wista,01/01/2009,03/31/2009,,,,,
3,VSTL,Vistula/Wista,04/01/2009,06/30/2009,,,,,
4,VSTL,Vistula/Wista,07/01/2009,09/30/2009,,,,,
5,VSTL,Vistula/Wista,10/01/2009,12/31/2009,,,,,
6,VSTL,Vistula/Wista,01/01/2010,03/31/2010,,,,,
7,VSTL,Vistula/Wista,04/01/2010,06/30/2010,,,,,
8,VSTL,Vistula/Wista,07/01/2010,09/30/2010,,,,,
9,VSTL,Vistula/Wista,10/01/2010,12/31/2010,,,,,
10,VSTL,Vistula/Wista,01/01/2011,03/31/2011,,,,,
11,VSTL,Vistula/Wista,04/01/2011,06/30/2011,,,,,
12,VSTL,Vistula/Wista,07/01/2011,09/30/2011,,,,,
13,VSTL,Vistula/Wista,10/01/2011,12/31/2011,,,,,
14,VSTL,Vistula/Wista,01/01/2012,03/31/2012,,,,,
15,VSTL,Vistula/Wista,04/01/2012,06/30/2012,,,,,
16,VSTL,Vistula/Wista,07/01/2012,09/30/2012,,,,,
17,VSTL,Vistula/Wista,10/01/2012,12/31/2012,,,,,
18,VSTL,Vistula/Wista,01/01/2013,03/31/2013,,,,,
19,VSTL,Vistula/Wista,04/01/2013,06/30/2013,,,,,
20,VSTL,Vistula/Wista,07/01/2013,09/30/2013,,,,,
21,VSTL,Vistula/Wista,10/01/2013,12/31/2013,,,,,
22,VSTL,Vistula/Wista,01/01/2014,03/31/2014,,,,,
23,VSTL,Vistula/Wista,04/01/2014,06/30/2014,,,,,
24,VSTL,Vistula/Wista,07/01/2014,09/30/2014,,,,,
25,VSTL,Vistula/Wista,10/01/2014,12/31/2014,,,,,
26,VSTL,Vistula/Wista,01/01/2015,03/31/2015,,,,,
27,VSTL,Vistula/Wista,04/01/2015,06/30/2015,,,,,
28,VSTL,Vistula/Wista,07/01/2015,09/30/2015,,,,,
29,VSTL,Vistula/Wista,10/01/2015,12/31/2015,,,,,
30,VSTL,Vistula/Wista,01/01/2016,03/31/2016,,,,,
31,VSTL,Vistula/Wista,04/01/2016,06/30/2016,,,,,
32,VSTL,Vistula/Wista,07/01/2016,09/30/2016,,,,,
33,VSTL,Vistula/Wista,10/01/2016,12/31/2016,,,,,
34,VSTL,Vistula/Wista,01/01/2017,03/31/2017,,,,,
35,VSTL,Vistula/Wista,04/01/2017,06/30/2017,,,,,
36,VSTL,Vistula/Wista,07/01/2017,09/30/2017,,,,,
37,VSTL,Vistula/Wista,10/01/2017,12/31/2017,,,,,
38,VSTL,Vistula/Wista,01/01/2018,03/31/2018,,,,,
39,VSTL,Vistula/Wista,04/01/2018,06/30/2018,,,,,
40,VSTL,Vistula/Wista,07/01/2018,09/30/2018,,,,,
41,VSTL,Vistula/Wista,10/01/2018,12/31/2018,,,,,
42,VSTL,Vistula/Wista,01/01/2019,03/31/2019,,,,,
43,VSTL,Vistula/Wista,04/01/2019,06/30/2019,,,,,
44,VSTL,Vistula/Wista,07/01/2019,09/30/2019,,,,,
45,VSTL,Vistula/Wista,10/01/2019,12/31/2019,,,,,
46,VSTL,Vistula/Wista,01/01/2020,03/31/2020,,,,,
47,VSTL,Vistula/Wista,04/01/2020,06/30/2020,,,,,
48,VSTL,Vistula/Wista,07/01/2020,09/30/2020,,,,,
49,VSTL,Vistula/Wista,10/01/2020,12/31/2020,,,,,
50,VSTL,Vistula/Wista,01/01/2021,03/31/2021,,,,,
51,VSTL,Vistula/Wista,04/01/2021,06/30/2021,,,,,
52,VSTL,Vistula/Wista,07/01/2021,09/30/2021,,,,,
53,VSTL,Vistula/Wista,10/01/2021,12/31/2021,,,,,
54,VSTL,Vistula/Wista,01/01/2022,03/31/2022,,,,,
55,VSTL,Vistula/Wista,04/01/2022,06/30/2022,,,,,
56,VSTL,Vistula/Wista,07/01/2022,09/30/2022,,,,,
57,VSTL,Vistula/Wista,10/01/2022,12/31/2022,,,,,
58,VSTL,Vistula/Wista,01/01/2023,03/31/2023,,,,,
59,VSTL,Vistula/Wista,04/01/2023,2023-06-30 00:00:00,,,,,
60,VSTL,Vistula/Wista,07/01/2023,09/30/2023,,,,,
61,VSTL,Vistula/Wista,10/01/2023,12/31/2023,,,,,
62,VSTL,Vistula/Wista,01/01/2024,2024-03-15 00:00:00,,,,,
