index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,YNSY,Jenisej/Yenisey,06/30/2008,06/30/2010,,,,,
1,YNSY,Jenisej/Yenisey,07/01/2010,06/30/2012,,,,,
2,YNSY,Jenisej/Yenisey,07/01/2012,06/30/2014,,,,,
3,YNSY,Jenisej/Yenisey,07/01/2014,06/30/2015,,,,,
4,YNSY,Jenisej/Yenisey,07/01/2015,06/30/2016,,,,,
5,YNSY,Jenisej/Yenisey,07/01/2016,06/30/2017,,,,,
6,YNSY,Jenisej/Yenisey,07/01/2017,06/30/2018,,,,,
7,YNSY,Jenisej/Yenisey,07/01/2018,06/30/2019,,,,,
8,YNSY,Jenisej/Yenisey,07/01/2019,06/30/2020,,,,,
9,YNSY,Jenisej/Yenisey,07/01/2020,06/30/2021,,,,,
10,YNSY,Jenisej/Yenisey,07/01/2021,06/30/2022,,,,,
11,YNSY,Jenisej/Yenisey,07/01/2022,07/01/2023,,,,,
12,YNSY,Jenisej/Yenisey,07/02/2023,12/31/2023,,,,,
13,YNSY,Jenisej/Yenisey,01/01/2024,03/15/2024,,,,,
