index,basin,key,set_date,over_thousand,start_date,end_date,start_count,stop_count,total_count,file_name,finished,basin_count
1,aral,1,1,,01/01/2008,12/31/2019,1,100,,,1,
2,aral,1,0,,01/01/2008,12/31/2019,101,200,,,1,
3,aral,1,0,,01/01/2008,12/31/2019,201,300,,,1,
4,aral,1,0,,01/01/2008,12/31/2019,301,400,,,1,
5,aral,1,0,,01/01/2008,12/31/2019,401,500,,,1,
6,aral,1,0,,01/01/2008,12/31/2019,501,600,,,1,
7,aral,1,0,,01/01/2008,12/31/2019,601,700,,,1,
8,aral,1,0,,01/01/2008,12/31/2019,701,800,,,1,
9,aral,1,0,,01/01/2008,12/31/2019,801,900,,,1,
10,aral,1,0,,01/01/2008,12/31/2019,901,1000,,,1,
11,aral,2,1,,01/01/2019,12/31/2022,1,100,,ResultsList_Aral_202207_1_100_PDF,1,363.0
12,aral,2,0,,01/01/2019,12/31/2022,101,200,,ResultsList_Aral_202207_101_200_PDF,1,363.0
13,aral,2,0,,01/01/2019,12/31/2022,201,300,,ResultsList_Aral_202207_201_300_PDF,1,363.0
14,aral,2,0,,01/01/2019,12/31/2022,301,400,,ResultsList_Aral_202207_301_400_PDF,1,363.0
15,aral,2,0,,01/01/2019,12/31/2022,401,500,,ResultsList_Aral_202207_401_500_PDF,1,363.0
16,aral,2,0,,01/01/2019,12/31/2022,501,600,,ResultsList_Aral_202207_501_600_PDF,1,363.0
17,aral,2,0,,01/01/2019,12/31/2022,601,700,,ResultsList_Aral_202207_601_700_PDF,1,363.0
18,aral,2,0,,01/01/2019,12/31/2022,701,800,,ResultsList_Aral_202207_701_800_PDF,1,363.0
19,aral,2,0,,01/01/2019,12/31/2022,801,900,,ResultsList_Aral_202207_801_900_PDF,1,363.0
20,aral,2,0,,01/01/2019,12/31/2022,901,1000,,ResultsList_Aral_202207_901_1000_PDF,1,363.0
